samples,E2F1-h,E2F2-h,E2F3-h,E2F4-h,E2F5-h,E2F6-h,E2F7-h,E2F8-h,,,samples,E2F1-s,E2F2-s,E2F3-s,E2F4-s,E2F5-s,E2F6-s,E2F7-s,E2F8-s
GTEX-11ONC-2126-SM-5HL6E,6.8362,5.6646,9.0685,11.1158,8.0354,9.0385,4.0173,4.7678,,,TCGA-BH-A0DV-11,5.7503,3.9854,9.6555,10.7831,8.7153,9.8404,4.0385,2.6649
GTEX-ZUA1-1526-SM-59HLS,6.1923,3.2566,8.4538,11.1305,7.9509,9.1754,3.8527,2.8304,,,TCGA-BH-A0B3-11,6.6937,5.2083,9.1547,10.5791,8.3812,9.7293,4.535,3.8865
GTEX-11EQ9-1826-SM-5Q5AJ,8.9957,7.3516,9.21,11.5961,7.5557,9.4489,6.5818,6.4314,,,TCGA-BH-A1F2-11,6.4371,5.5521,8.68,10.6396,7.3096,9.4212,5.1101,3.565
GTEX-144GL-2026-SM-5LU3O,6.3573,3.5902,8.6695,11.0196,8.1828,8.9881,2.2269,1.7883,,,TCGA-BH-A0E1-11,7.1414,4.9535,9.2051,10.1372,8.1762,9.7819,4.4587,3.5229
GTEX-12KS4-0126-SM-5Q5A5,6.1885,3.0094,8.6696,11.2732,7.287,9.7403,1.2693,2.3872,,,TCGA-E9-A1N6-11,7.76,5.8652,9.5238,10.7552,8.1886,9.5588,4.2929,4.7963
GTEX-13N1W-0626-SM-5MR4U,6.8222,3.7183,9.9377,11.43,7.9641,9.7826,1.2335,1.2335,,,TCGA-BH-A0BA-11,6.7194,6.6501,8.8369,10.3583,7.7977,9.1356,4.7599,5.5055
GTEX-XMK1-1126-SM-4IHJ8,7.0405,3.9557,8.1127,10.8553,7.1221,9.1143,1.3857,1.3857,,,TCGA-BH-A1F6-11,6.2078,6.1637,9.949,10.5793,8.1976,9.7714,5.259,4.3562
GTEX-UTHO-1026-SM-3GAF7,5.9098,3.7633,8.5968,11.1494,8.2112,9.7357,0,0,,,TCGA-E2-A153-11,7.35,6.3785,9.7595,10.768,8.3834,9.402,5.1876,5.434
GTEX-R55D-0826-SM-48FEA,6.8223,4.6583,8.9561,11.6605,7.2885,10.2205,3.1007,2.8203,,,TCGA-BH-A18L-11,7.1979,5.7275,8.8792,10.7287,7.5773,9.3552,3.9866,3.6412
GTEX-14E6E-1326-SM-5S2NR,6.9126,5.0556,9.4827,11.5598,7.6085,9.893,3.227,4.0472,,,TCGA-BH-A18R-11,6.645,4.9825,8.8495,10.5497,7.9122,9.4591,4.3563,3.1363
GTEX-11GSO-1926-SM-5A5K3,7.8895,6.3834,9.4472,11.4557,8.0643,9.4338,5.3153,5.5325,,,TCGA-BH-A0DK-11,7.3219,5.8861,9.7119,10.1706,8.3806,9.4571,5.2101,4.7402
GTEX-14753-2426-SM-5LU8U,5.2166,3.4421,9.2748,11.0189,8.131,9.232,1.4031,2.1008,,,TCGA-BH-A18V-11,7.0293,4.1124,8.142,10.6205,8.2753,9.4294,0,2.6288
GTEX-YB5E-1726-SM-5IFJ3,6.5325,4.6842,8.9476,11.6491,7.2966,9.8517,2.4224,3.2811,,,TCGA-BH-A208-11,6.2727,6.0446,9.5989,10.3828,8.6974,9.8466,4.1205,2.6059
GTEX-REY6-2426-SM-48FF5,5.2443,3.6898,9.6435,11.8317,8.069,10.3195,2.7975,1.1313,,,TCGA-BH-A0AZ-11,6.1912,4.8332,9.2566,10.5503,8.1528,9.3866,5.2,3.5853
GTEX-Y5V6-2126-SM-4WWFX,8.5243,6.8358,9.7854,11.6857,7.433,9.9279,5.0332,5.2493,,,TCGA-BH-A0C3-11,6.6881,7.6952,8.8302,10.7472,8.6716,9.3657,4.9336,4.3563
GTEX-ZLFU-2126-SM-4WWEV,6.1528,3.3506,9.4254,12.1002,7.3015,10.3662,1.7225,0,,,TCGA-BH-A1FH-11,6.933,5.8575,9.1589,10.8307,8.102,9.5839,4.9017,4.6937
GTEX-U8XE-0826-SM-4E3J1,7.6885,6.9138,9.6299,11.9539,7.8826,9.5036,3.2427,5.365,,,TCGA-BH-A18K-11,6.1103,4.8194,9.0054,10.5113,8.1195,9.1177,4.0778,3.3332
GTEX-ZA64-1526-SM-5CVMD,5.9131,1.9343,9.6608,11.6733,7.6138,10.5019,0,2.732,,,TCGA-E2-A1LS-11,6.0016,3.8078,8.5402,10.7499,6.7014,9.5497,2.6326,2.4729
GTEX-ZYW4-0826-SM-5GIDG,6.1809,4.6352,9.7532,11.5206,8.7725,9.2944,3.8707,2.1399,,,TCGA-BH-A0AU-11,6.3915,4.9703,8.8756,10.4778,8.7421,9.4015,4.6978,3.3843
GTEX-13S86-1226-SM-5S2OA,6.4246,3.9387,8.8651,12.0243,7.6396,9.4468,2.107,2.929,,,TCGA-BH-A0H5-11,6.6521,5.7577,9.2161,10.2992,8.3468,9.6985,4.0434,3.9774
GTEX-XGQ4-0926-SM-4AT4U,6.0131,4.3379,8.5737,11.8673,7.2272,9.7862,1.9846,1.9846,,,TCGA-BH-A1EV-11,7.6728,7.3761,9.7039,10.4932,8.5177,9.8433,7.807,6.8252
