samples,E2F1-h,E2F2-h,E2F3-h,E2F4-h,E2F5-h,E2F6-h,E2F7-h,E2F8-h,,,samples,E2F1-s,E2F2-s,E2F3-s,E2F4-s,E2F5-s,E2F6-s,E2F7-s,E2F8-s
GTEX-X4LF-0526-SM-3NMB6,8.2585,6.2048,9.2158,11.504,7.7287,9.3689,5.6887,5.7375,,,TCGA-56-7580-01,8.612,8.8229,10.4262,11.3848,9.333,9.9177,9.005,8.4749
GTEX-ZAB4-0626-SM-5CVN3,8.9814,8.3176,9.5836,11.3848,8.3674,8.7705,7.6595,7.2041,,,TCGA-56-8624-01,10.1121,8.6757,10.1981,11.1865,7.2609,9.5574,7.5831,7.3607
GTEX-RM2N-0426-SM-2TF4T,7.7329,6.0015,9.3596,11.4404,7.5892,9.47,4.713,5.1755,,,TCGA-68-7756-01,9.2986,7.7509,10.1814,11.31,7.9812,9.9878,9.7567,8.0373
GTEX-13FHO-1026-SM-5KM1Q,6.9295,8.3055,8.3526,11.1744,9.2818,8.1203,3.95,4.7698,,,TCGA-85-A4JC-01,9.5959,7.5997,9.1222,11.3536,7.5234,9.526,6.692,7.7055
GTEX-V1D1-0826-SM-3P5ZA,7.8249,7.4262,9.1245,11.8403,8.4898,9.0688,5.5282,5.301,,,TCGA-18-3416-01,9.9148,9.7134,9.2994,11.5097,8.1054,10.83,10.117,8.1558
GTEX-POYW-1226-SM-5LZWQ,6.2809,7.7464,8.6528,11.7371,8.5897,8.8856,4.1319,4.6216,,,TCGA-33-AASD-01,10.0547,8.2409,9.3502,12.011,6.3447,10.4726,9.5412,7.9172
GTEX-OIZH-0526-SM-2HMKV,8.3361,7.0191,9.4136,11.9574,7.8792,9.3581,4.6983,5.235,,,TCGA-56-7582-01,9.2259,8.5672,9.6444,10.8691,6.7479,10.0185,9.8599,8.8034
GTEX-1477Z-0626-SM-5NQB7,7.3401,8.0998,8.4121,11.4495,9.1511,8.8741,3.7201,4.1075,,,TCGA-96-7544-01,8.6824,9.5521,9.5927,11.3077,8.8421,10.1333,9.9698,7.8296
GTEX-13OVG-0326-SM-5KM57,7.3214,4.7448,8.9879,11.2794,7.836,8.632,3.7253,4.2219,,,TCGA-18-3410-01,11.3227,9.3008,9.3411,10.7499,10.126,9.6617,9.424,8.6949
GTEX-145LU-0526-SM-5O9AT,6.8076,5.3252,9.8164,11.1759,9.3462,9.1445,4.4146,4.3047,,,TCGA-22-4609-01,8.9224,7.873,9.5763,11.4885,7.8965,9.8826,9.7201,7.4831
GTEX-WFON-0426-SM-3GIL4,9.7099,7.6608,8.8694,11.3638,8.1044,9.5349,6.2883,6.5713,,,TCGA-22-5482-01,9.5602,8.6446,9.0554,12.6619,7.7247,9.7993,9.7602,7.7042
GTEX-XBEC-1026-SM-4QASM,8.7146,6.8215,9.0385,11.2545,9.2251,8.872,5.1455,3.6398,,,TCGA-46-6026-01,10.8382,10.6973,11.3688,11.5197,9.0324,9.9673,8.9813,8.7929
GTEX-WY7C-0426-SM-3NB3C,7.5642,6.6669,8.8616,11.4562,7.9223,9.526,5.474,4.6222,,,TCGA-56-A5DR-01,10.4264,9.8287,10.2126,12.4671,7.8705,9.9112,9.83,8.1952
GTEX-13VXU-2726-SM-5LU4N,7.2008,7.8876,9.8741,11.2756,9.2062,9.197,6.8671,4.6777,,,TCGA-77-A5GH-01,9.3954,7.4768,10.2013,10.6779,11.1154,9.4447,7.9072,8.1183
GTEX-SIU8-0926-SM-5SI87,8.1853,8.0961,9.6656,11.0297,8.7947,8.5585,6.3501,5.7381,,,TCGA-22-4591-01,10.5326,8.9633,10.1191,11.6401,7.8531,10.3459,9.8478,9.4156
GTEX-WVJS-0826-SM-4MVNR,6.6864,5.7845,8.5291,11.4386,8.9482,8.5771,3.8609,2.8569,,,TCGA-33-6738-01,10.617,8.5887,10.21,11.2901,7.1731,10.8471,6.8407,9.1421
GTEX-YF7O-0626-SM-4W21R,7.8736,4.9514,9.0726,11.7163,7.7857,9.6379,4.0633,4.4566,,,TCGA-34-A5IX-01,10.0092,8.5161,10.3505,11.3618,8.4172,8.6999,8.5271,8.2531
GTEX-Y5V6-0226-SM-4V6G7,8.216,6.0002,9.2088,11.5587,7.7443,9.1394,4.2266,4.5634,,,TCGA-94-7943-01,9.788,8.2143,10.5573,11.8112,8.5316,10.0226,8.0764,9.282
GTEX-13FLV-0426-SM-5KLZA,6.5639,6.693,10.2427,11.3026,8.2625,8.8125,4.9709,3.7709,,,TCGA-22-5478-01,9.1379,8.7644,9.2353,11.2143,8.1468,10.4127,8.8792,8.3933
GTEX-ZDTS-1026-SM-4WAXS,7.2132,5.8593,9.1222,11.1894,9.596,9.0721,6.3262,4.5352,,,TCGA-34-5241-01,8.5307,8.1274,9.1108,11.658,7.0908,9.5563,8.5175,6.8674
GTEX-1212Z-1026-SM-5EGJ8,8.072,7.3863,9.9641,11.2216,9.4002,8.8267,7.2298,5.3626,,,TCGA-56-7221-01,9.1867,9.3967,10.5603,11.114,8.4771,9.8517,9.6672,8.4612
GTEX-12584-1426-SM-5EGJ9,6.938,8.7764,9.5847,11.4907,8.6933,9.3088,5.8264,5.254,,,TCGA-56-8308-01,8.4255,8.5018,10.3196,11.2821,8.2069,9.4534,9.0465,7.1784
GTEX-XPVG-1026-SM-4B64Y,9.2022,8.1225,9.3777,11.7314,7.7892,8.8775,5.9282,6.2015,,,TCGA-66-2770-01,9.4825,8.3818,10.4389,11.3875,8.1003,9.8925,9.2674,8.6559
GTEX-147F4-0926-SM-5Q5EO,7.2677,7.48,9.9997,11.5268,8.6489,9.3273,5.6398,5.3826,,,TCGA-77-6842-01,9.9471,8.6971,9.7847,11.0092,8.4832,9.9615,9.5255,8.6274
GTEX-OHPM-0526-SM-2YUMJ,7.1152,4.9385,9.8145,12.0087,8.2575,9.4223,3.9297,2.5227,,,TCGA-NC-A5HD-01,10.2764,9.1542,11.0851,11.7862,7.9805,10.3541,8.6981,7.5389
GTEX-UPJH-0826-SM-4WKFD,6.4189,5.0317,9.8223,11.3483,8.8858,8.9784,3.6718,3.378,,,TCGA-22-5473-01,9.9294,8.9087,9.6767,11.6681,7.8685,10.4917,8.4223,7.2158
GTEX-13O61-0726-SM-5J2MD,8.2317,5.7577,9.0085,11.8717,7.887,9.3993,4.5263,5.0903,,,TCGA-43-5668-01,12.054,8.4776,10.2762,11.521,9.0855,8.8677,6.7646,8.3162
GTEX-111FC-1126-SM-5GZWU,6.4019,4.8956,7.9437,11.0274,8.6142,8.5238,4.9606,4.7564,,,TCGA-56-8628-01,8.7289,8.4565,9.8878,11.4143,8.02,10.0769,8.7415,6.4574
GTEX-ZEX8-0526-SM-4WKH5,8.9436,7.7948,8.9402,11.4359,7.9431,8.851,6.1236,6.6031,,,TCGA-56-A62T-01,10.0706,7.9918,10.4618,12.1987,9.0718,10.3637,9.78,8.6326
GTEX-11DXZ-0726-SM-5N9C4,10.0574,8.7293,9.4968,11.5496,8.0891,9.0897,7.7409,8.2185,,,TCGA-63-A5MS-01,8.741,8.2093,10.0641,11.3419,7.6637,9.5399,8.5511,7.9542
GTEX-13PVQ-0926-SM-5IJFD,8.2779,7.7599,9.6733,11.7445,9.0749,8.191,6.5222,5.4284,,,TCGA-68-8251-01,10.0958,9.3954,10.7155,11.1986,10.4527,9.6708,8.7952,7.3356
GTEX-ZZPT-1326-SM-5E43H,6.318,5.8771,8.5012,11.2194,8.4023,9.0776,6.0923,2.6443,,,TCGA-O2-A52N-01,11.0072,8.4153,9.4015,11.1586,8.7689,10.0573,8.8439,8.7105
GTEX-NFK9-1026-SM-2HMK1,8.7638,6.2373,9.0983,11.525,7.9317,8.8279,4.8758,5.5929,,,TCGA-18-3415-01,9.3486,7.7934,9.5642,11.0083,7.5428,10.4694,8.2926,6.9001
GTEX-QEG5-1126-SM-33HC2,7.6456,6.2823,9.3051,10.8149,9.1337,8.7109,5.6009,4.8579,,,TCGA-21-1078-01,8.1149,8.0265,10.0542,11.6067,8.4513,8.9476,6.807,10.3854
GTEX-14A6H-0526-SM-5NQAZ,9.9071,8.3608,9.4479,11.6339,8.5212,9.1915,7.0432,7.2459,,,TCGA-21-A5DI-01,9.7898,7.3673,10.199,11.0806,8.0679,9.4776,8.9562,9.336
GTEX-13QJ3-1026-SM-5QGQU,7.2298,5.8469,8.3092,11.3641,8.5471,8.7801,5.306,4.1465,,,TCGA-22-4593-01,10.3136,9.7309,9.3779,11.9154,7.9406,10.1027,10.1762,8.8878
GTEX-Y9LG-0526-SM-4VBRY,8.9836,7.2779,9.4155,11.7268,8.0511,9.5059,6.8797,6.5858,,,TCGA-98-A53J-01,9.437,8.1115,9.6394,11.7742,7.9717,10.3529,8.3727,7.8062
GTEX-132QS-0726-SM-5IJE9,8.1609,6.4017,9.2392,11.8231,8.1265,9.397,4.3421,5.0503,,,TCGA-NC-A5HN-01,9.9598,8.8421,10.6584,11.7955,7.2043,10.7415,8.9248,7.9836
GTEX-ZT9W-0726-SM-4YCDC,8.229,5.9161,9.5704,11.7317,7.8639,9.251,4.1673,4.8891,,,TCGA-NK-A5CR-01,9.9294,7.6673,9.7825,11.2284,8.0202,10.1632,9.0556,7.3745
GTEX-13N1W-0726-SM-5MR57,8.1336,6.9648,9.2347,11.7776,8.9744,8.3924,4.2555,3.6015,,,TCGA-21-5783-01,9.9736,9.0311,10.9452,11.8757,9.3943,10.5344,11.0024,9.2601
GTEX-117YX-1326-SM-5H125,7.3676,6.3138,9.3786,11.5174,8.0117,9.4062,4.2575,5.0098,,,TCGA-22-1000-01,8.5467,7.9865,9.6138,11.1916,7.7231,9.1089,7.7161,7.0745
GTEX-P4PQ-0526-SM-2HMKR,8.0849,6.1864,8.9873,11.7131,7.8641,9.0483,3.6081,3.9933,,,TCGA-39-5022-01,10.0743,8.6845,10.6007,11.465,9.0707,9.8762,8.5379,7.6248
GTEX-O5YT-0526-SM-32PK8,10.2642,8.6759,10.4352,11.8392,8.5195,9.6884,7.0544,7.0456,,,TCGA-39-5039-01,8.1267,6.8698,8.1369,11.3567,7.7959,9.2069,7.8009,7.2633
