,E2F1-h,E2F2-h,E2F3-h,E2F4-h,E2F5-h,E2F6-h,E2F7-h,E2F8-h,,,,,E2F1-s,E2F2-s,E2F3-s,E2F4-s,E2F5-s,E2F6-s,E2F7-s,E2F8-s
,,,,,,,,,,,,TCGA-29-1705-01,10.9458,9.0461,10.098,11.0647,8.7822,9.4509,8.6012,9.7813
,,,,,,,,,,,,TCGA-29-1777-01,10.4349,8.0258,8.5961,11.6346,9.9503,9.6024,5.973,7.9315
,,,,,,,,,,,,TCGA-31-1944-01,10.9691,10.1414,10.6596,11.3261,10.9055,10.0052,8.5866,8.3574
,,,,,,,,,,,,TCGA-57-1584-01,9.2172,7.4086,10.0781,10.9847,9.7739,9.37,5.7162,8.8287
,,,,,,,,,,,,TCGA-61-1724-01,9.9549,9.1196,10.6099,12.1955,9.6501,8.7355,8.4641,8.4714
,,,,,,,,,,,,TCGA-04-1350-01,9.2464,6.9608,10.265,10.6639,10.4292,9.8902,6.7283,8.7686
,,,,,,,,,,,,TCGA-13-0801-01,11.3665,10.5501,10.0398,12.1631,9.4058,9.7333,6.8235,8.6799
,,,,,,,,,,,,TCGA-20-1687-01,9.1617,7.7641,9.2394,10.4972,9.8219,9.2224,4.4667,6.7354
,,,,,,,,,,,,TCGA-23-1029-01,10.7821,9.3182,11.1014,11.3108,10.831,9.2735,8.6099,9.3657
,,,,,,,,,,,,TCGA-24-1546-01,9.4464,8.2155,9.8335,12.0471,9.9798,8.8156,6.2368,8.2086
,,,,,,,,,,,,TCGA-24-2019-01,12.1481,10.1566,9.9172,11.0476,10.4326,11.5137,10.1235,10.6394
,,,,,,,,,,,,TCGA-61-2002-01,10.8722,9.6468,9.7779,12.0778,9.8865,8.6291,7.4717,8.4861
,,,,,,,,,,,,TCGA-04-1514-01,10.9927,9.3409,10.886,12.462,10.4033,10.5065,9.0589,9.1171
,,,,,,,,,,,,TCGA-13-0924-01,10.5462,8.5926,10.0572,11.2201,9.7179,9.2892,7.0598,9.6522
,,,,,,,,,,,,TCGA-13-1506-01,10.976,10.2,9.7733,11.3684,9.6377,10.0548,8.1965,10.3631
,,,,,,,,,,,,TCGA-20-1685-01,10.9679,9.7224,10.9949,12.0015,10.8495,9.6227,10.1737,9.879
,,,,,,,,,,,,TCGA-23-1021-01,9.0243,7.4007,9.017,10.5378,9.6308,9.4682,6.3868,6.8477
,,,,,,,,,,,,TCGA-23-1026-01,10.4926,8.1495,9.9003,10.9619,10.875,9.6848,7.7564,8.6131
,,,,,,,,,,,,TCGA-23-1118-01,10.2182,8.3946,10.1153,11.1446,10.3797,10.3139,8.2475,9.2473
,,,,,,,,,,,,TCGA-23-2077-01,10.2228,8.6775,10.454,11.6264,9.6635,9.9449,6.1945,8.0832
,,,,,,,,,,,,TCGA-23-2084-01,10.8997,9.4744,10.2465,11.9306,9.9127,9.1394,9.4042,10.0485
,,,,,,,,,,,,TCGA-24-1425-01,10.2322,8.2424,11.3458,11.4271,9.1665,9.4638,6.8353,8.9456
,,,,,,,,,,,,TCGA-24-1846-01,11.1892,8.664,10.7025,11.724,10.5185,10.6861,7.7496,8.5896
,,,,,,,,,,,,TCGA-29-1694-01,10.2067,8.4684,9.2571,11.1132,10.5867,9.7567,6.3307,8.9705
,,,,,,,,,,,,TCGA-29-1711-01,8.6943,8.3046,10.2244,11.6537,8.9727,10.4296,6.7074,7.8588
,,,,,,,,,,,,TCGA-61-1736-01,11.49,9.8946,9.5787,11.6961,10.3491,9.8554,10.7057,10.0678
,,,,,,,,,,,,TCGA-61-1918-01,9.0319,8.9549,10.3576,12.1075,10.3461,8.9571,7.1655,7.8968
,,,,,,,,,,,,TCGA-04-1348-01,11.7881,10.5738,10.8266,12.0523,9.9398,9.9415,8.8153,10.9438
,,,,,,,,,,,,TCGA-10-0931-01,9.9355,9.6192,9.4139,11.4422,9.5219,10.052,7.6947,9.2564
,,,,,,,,,,,,TCGA-10-0937-01,10.1548,7.685,8.8776,11.0204,9.9593,8.7432,8.1699,7.8989
,,,,,,,,,,,,TCGA-13-0725-01,10.4919,8.3608,9.6178,12.0839,9.8623,8.5374,8.2,9.2532
,,,,,,,,,,,,TCGA-13-0799-01,11.5471,9.7224,11.0874,13.0566,10.4971,10.3136,9.7682,10.1621
,,,,,,,,,,,,TCGA-30-1718-01,10.7384,8.6812,10.583,11.852,10.0527,9.9457,7.46,9.7043
,,,,,,,,,,,,TCGA-59-2350-01,11.4507,9.7871,9.4362,11.7055,9.4636,9.9196,8.5027,9.2548
,,,,,,,,,,,,TCGA-23-1028-01,10.0924,9.0165,10.8122,10.8873,10.056,9.5124,6.5875,8.4317
,,,,,,,,,,,,TCGA-24-1426-01,11.0345,9.2153,9.1669,12.3239,10.5537,9.64,8.7704,9.3571
,,,,,,,,,,,,TCGA-29-1696-01,7.6639,6.05,9.1706,10.362,10.879,9.5502,9.6409,8.1157
,,,,,,,,,,,,TCGA-29-1763-01,11.0652,8.3572,10.875,11.4111,10.2197,10.4733,6.2392,7.7847
,,,,,,,,,,,,TCGA-36-1577-01,10.3819,8.6673,10.7739,12.0711,10.5463,10.2163,9.4626,8.7491
,,,,,,,,,,,,TCGA-61-1995-01,11.1163,10.2619,9.8324,11.3383,9.9172,9.9905,9.0031,9.9765
,,,,,,,,,,,,TCGA-09-2051-01,11.5796,10.236,10.7915,11.8048,9.0633,10.1727,8.2557,10.4934
,,,,,,,,,,,,TCGA-13-0766-01,10.8575,8.235,9.4491,12.339,9.8684,9.7221,7.9806,7.6427
,,,,,,,,,,,,TCGA-13-0887-01,11.4993,8.3422,8.8615,11.5856,9.2911,9.7259,8.0997,8.9912
,,,,,,,,,,,,TCGA-23-1110-01,12.8186,9.7919,10.7437,11.712,10.7309,10.3558,8.3763,10.0136
,,,,,,,,,,,,TCGA-24-1845-01,10.7181,8.9434,10.822,12.3785,9.9654,10.0545,8.0683,9.4487
,,,,,,,,,,,,TCGA-25-1314-01,9.5199,9.714,10.9802,11.6301,10.1802,9.6018,6.5244,9.0994
,,,,,,,,,,,,TCGA-61-1737-01,11.0806,8.7803,11.1087,11.2341,9.4616,9.5178,9.0329,9.6729
,,,,,,,,,,,,TCGA-13-0901-01,9.899,8.4252,10.7187,11.6438,9.1914,10.6073,7.7334,8.2659
,,,,,,,,,,,,TCGA-29-1769-01,10.8258,8.987,10.3897,11.8023,10.1697,10.1398,8.1971,9.2583
,,,,,,,,,,,,TCGA-59-2363-01,10.9395,8.5894,11.1831,11.5432,11.019,10.4321,7.9885,10.2657
,,,,,,,,,,,,TCGA-61-1725-01,9.9985,7.8769,9.7322,11.2408,10.8711,9.7131,7.2428,7.8045
,,,,,,,,,,,,TCGA-61-2008-01,9.6784,8.1165,10.5205,11.4157,9.8704,9.174,7.7212,8.9294
,,,,,,,,,,,,TCGA-61-2109-01,10.8575,10.151,10.5488,12.2885,10.3012,8.9737,8.3964,9.1201
,,,,,,,,,,,,TCGA-13-0884-01,10.6642,8.5112,9.9568,10.4043,10.1101,9.2542,8.4528,9.1387
,,,,,,,,,,,,TCGA-29-1688-01,10.8546,9.1365,10.2934,12.013,10.0106,9.3625,10.2829,10.4852
,,,,,,,,,,,,TCGA-25-1328-01,7.7956,6.7408,9.2542,11.3932,9.7838,8.9238,6.6502,6.7155
,,,,,,,,,,,,TCGA-25-2404-01,10.7537,9.2702,10.2523,10.8752,9.6022,9.4557,8.088,9.0984
,,,,,,,,,,,,TCGA-61-1721-01,7.2446,4.9773,7.8868,10.791,8.3963,8.9834,4.415,4.5349
,,,,,,,,,,,,TCGA-24-1105-01,11.1693,9.4502,10.7826,11.024,11.7701,9.6738,7.4021,8.9797
,,,,,,,,,,,,TCGA-24-1416-01,10.3473,9.7348,8.6991,11.15,9.8542,9.0351,10.3536,9.7571
,,,,,,,,,,,,TCGA-31-1946-01,11.0257,9.5172,11.0262,11.6526,11.1274,10.4915,7.533,9.3634
