,E2F1-h,E2F2-h,E2F3-h,E2F4-h,E2F5-h,E2F6-h,E2F7-h,E2F8-h,,,,,E2F1-s,E2F2-s,E2F3-s,E2F4-s,E2F5-s,E2F6-s,E2F7-s,E2F8-s
GTEX-XMD3-2326-SM-4AT5H,6.9948,0,5.6121,11.2869,9.8441,9.4504,1.1561,0,,,,TCGA-OY-A56Q-01,9.6815,7.795,11.3376,12.3212,10.9373,10.5808,7.0899,8.3134
GTEX-13QBU-1526-SM-5LU3W,7.9312,1.1718,7.8474,11.0291,8.9684,9.0729,2.5878,2.2507,,,,TCGA-09-2044-01,11.5843,9.8334,10.1002,11.4999,9.7827,9.3089,7.0547,9.4728
GTEX-WYVS-1526-SM-4OND4,6.2694,2.8768,7.6547,11.0237,9.2234,9.4776,3.7751,1.823,,,,TCGA-10-0933-01,11.6623,9.2851,10.8958,11.5943,9.8351,10.7475,9.6443,9.7813
GTEX-Q734-0726-SM-48TZP,6.5936,2.5308,7.6128,11.2866,9.5201,9.3993,3.6946,1.7611,,,,TCGA-13-1507-01,10.9237,8.7731,9.2874,10.2103,10.2273,9.5897,6.8589,8.87
GTEX-11ZVC-1426-SM-5EGGA,7.1357,1.2202,5.927,10.9345,9.5253,9.0586,2.6597,1.2202,,,,TCGA-24-0982-01,11.1913,9.3452,10.8732,11.6519,10.7328,9.6842,7.6511,9.8572
GTEX-12WSJ-1226-SM-5LU91,7.905,3.0938,7.1339,11.8889,9.2152,9.766,2.591,2.2536,,,,TCGA-24-1552-01,9.9119,9.6666,10.0465,10.9206,9.8823,10.1631,7.3065,9.7975
GTEX-ZZPU-2126-SM-5EGIU,7.9862,3.6568,7.4646,11.051,8.8406,9.3948,3.2794,1.2937,,,,TCGA-24-1928-01,11.72,9.5416,10.6371,11.9691,9.3608,9.9916,8.4105,10.1523
GTEX-RU72-2226-SM-46MUE,8.0928,0,6.8713,11.2046,9.3496,9.4532,3.2028,2.5084,,,,TCGA-29-1778-01,10.5084,8.7274,10.7692,12.0126,10.3955,9.7962,7.1586,8.446
GTEX-XV7Q-1426-SM-4BRWA,6.6655,3.5917,7.1672,11.238,9.5942,9.5358,3.0064,1.5899,,,,TCGA-13-1481-01,11.3006,8.2199,10.4329,11.2417,10.1793,9.6537,8.333,8.5878
GTEX-146FH-2526-SM-5Q5BP,7.5554,1.179,6.6744,11.6567,10.05,9.8565,2.2608,0,,,,TCGA-24-2261-01,11.217,10.7849,10.7704,11.1964,8.8738,10.0036,9.5042,10.8228
GTEX-UJHI-1226-SM-4IHLR,8.5061,0,5.8943,11.6905,9.5207,9.6961,2.4292,1.2998,,,,TCGA-25-1329-01,11.4284,9.8152,9.7487,10.8127,10.7557,9.605,8.4174,8.8923
GTEX-139D8-2426-SM-5KM3A,7.8436,0,4.8025,11.5684,10.0832,8.7926,1.9962,1.3189,,,,TCGA-25-2400-01,11.6021,8.7602,10.6938,11.7105,9.758,9.9962,7.5181,9.8374
GTEX-11GSP-0226-SM-5A5KV,7.3023,1.8801,8.5247,11.1623,9.4859,9.0273,2.6695,0,,,,TCGA-31-1950-01,11.3552,10.391,10.1651,11.4466,9.6932,9.8682,8.4953,9.7128
GTEX-11EMC-1726-SM-5H11P,8.1415,0,5.1964,10.9598,9.7872,9.2401,2.6517,1.2147,,,,TCGA-36-1576-01,11.1729,9.6723,9.8974,11.2987,10.8679,9.5451,8.4248,9.7362
GTEX-13PL7-2326-SM-5L3FY,8.4784,1.7266,7.2061,10.9018,8.908,9.5053,2.1584,0,,,,TCGA-61-1741-01,12.138,10.275,10.7641,11.8176,10.6963,9.9507,9.3068,9.9192
GTEX-ZVT3-2626-SM-5GU5L,7.0889,0,7.0737,10.9562,9.5632,9.0619,1.2765,0,,,,TCGA-09-1661-01,9.1049,6.088,10.0333,10.5165,9.6054,10.1168,5.217,5.661
GTEX-11ZTT-1826-SM-5CVLN,8.746,5.2745,7.9475,11.4366,8.3619,9.3695,3.5308,4.467,,,,TCGA-20-1686-01,10.2375,7.6161,10.3623,10.8826,9.0896,10.2387,8.5939,8.3143
GTEX-145ME-1226-SM-5SIB6,8.4261,1.6134,6.7425,11.6288,9.1789,9.7219,2.356,1.0214,,,,TCGA-25-1634-01,10.8827,7.316,10.7291,11.8408,11.0096,10.2122,6.1329,7.8458
GTEX-ZLWG-0926-SM-4WWC3,8.5887,4.5648,8.469,11.4756,8.2181,10.1652,3.3692,3.8413,,,,TCGA-25-2392-01,9.8771,8.3469,10.0775,11.8647,11.1789,9.4125,7.4717,8.1085
GTEX-RTLS-2326-SM-46MUH,8.5721,2.973,5.9377,10.8293,9.8886,9.3636,0,0,,,,TCGA-29-2414-01,10.0243,7.1931,10.1963,10.8532,8.7683,9.2633,7.7905,7.6454
GTEX-RWS6-1026-SM-47JXD,8.8137,0,6.994,11.1751,8.2028,9.4948,2.0572,1.3679,,,,TCGA-13-0923-01,10.8331,8.7658,9.7443,11.8065,10.1584,9.5329,7.0612,8.6113
GTEX-11XUK-1626-SM-5GU5O,8.3688,1.2717,7.1106,10.6909,8.3514,9.8461,4.0495,1.2717,,,,TCGA-13-1487-01,10.5578,8.1178,10.5688,11.2419,9.4949,9.342,7.8251,8.965
GTEX-13FTX-0926-SM-5IFF7,8.7512,3.3604,7.7272,11.3469,8.9534,10.4699,4.2884,2.4944,,,,TCGA-24-1565-01,8.0697,6.535,9.3835,11.0604,9.4308,9.6334,7.6128,7.4914
GTEX-T2IS-2026-SM-4DM6W,7.0835,2.6427,6.8844,11.157,9.6562,9.2685,3.7267,1.4586,,,,TCGA-24-2280-01,10.4481,8.6861,11.3755,11.6124,9.7044,9.559,7.9004,8.0608
GTEX-13U4I-2126-SM-5LU55,7.0846,1.9979,7.0525,11.145,9.3597,9.3494,4.1266,0,,,,TCGA-25-1324-01,12.014,10.1429,10.4191,12.7502,11.1182,10.7723,9.3119,8.9725
GTEX-T6MO-1126-SM-4DM5D,8.3874,3.1376,8.1225,11.4977,9.155,9.5579,2.5059,3.1376,,,,TCGA-29-1766-01,9.9235,7.5921,9.3929,11.0727,10.2767,10.0833,7.2218,8.3398
GTEX-QVJO-3126-SM-4R1KC,7.5037,1.296,6.147,11.2776,9.2832,9.114,1.296,1.9675,,,,TCGA-30-1861-01,11.6376,8.7627,10.2163,10.6056,10.7594,8.5064,7.406,7.5886
GTEX-WI4N-2526-SM-4OOSE,6.067,3.2936,7.6691,11.1517,10.2635,8.6991,5.5616,2.1051,,,,TCGA-61-2102-01,10.4336,9.0668,10.6396,11.1667,10.5726,10.4272,9.9888,8.7574
GTEX-X4EO-2426-SM-4QASD,7.601,2.2048,8.1968,11.0339,9.1204,8.979,1.4881,0,,,,TCGA-09-1665-01,11.213,8.7189,9.8881,11.4392,9.7781,9.2743,7.6617,8.3684
GTEX-W5WG-0926-SM-4RTX9,7.9557,1.3589,7.2105,11.208,9.1836,9.4098,2.5096,0,,,,TCGA-13-0768-01,9.5847,8.9187,9.4663,11.8118,9.0559,9.3044,6.7721,7.7719
GTEX-X8HC-2726-SM-46MUA,7.3014,0,6.0624,11.2302,9.8305,9.1307,2.0478,0,,,,TCGA-13-0804-01,10.3616,9.5356,9.6536,11.2018,9.2133,9.1356,7.7029,8.7496
GTEX-ZYWO-1926-SM-5E456,7.5384,0,6.4646,10.9199,9.0691,9.389,2.2786,1.1916,,,,TCGA-13-0891-01,11.2825,9.4447,10.0608,11.4883,8.4892,8.4393,7.247,9.4347
GTEX-11I78-1926-SM-59878,8.9626,2.3773,7.1943,11.6099,8.3353,10.3086,2.7212,1.2622,,,,TCGA-13-1409-01,9.7229,6.6569,10.3859,11.9634,10.9662,9.9545,6.8326,6.9462
GTEX-U3ZN-1026-SM-4DXTC,7.429,1.7783,7.2097,10.8383,9.1087,9.2492,3.0514,0,,,,TCGA-13-1498-01,10.2355,8.7128,10.7566,10.8474,10.1689,9.7713,6.8967,8.7758
GTEX-PWCY-1326-SM-48TCU,8.8846,6.1827,7.8601,11.2285,8.4207,9.9992,5.6077,5.0154,,,,TCGA-23-1032-01,11.3655,9.6413,9.096,12.3808,9.502,9.8897,8.131,8.6141
GTEX-TSE9-2226-SM-4DXUR,7.6472,1.8857,5.946,10.9646,9.9252,9.56,1.8857,0,,,,TCGA-24-1558-01,11.2588,9.8047,11.3288,11.831,10.8825,9.5411,9.1393,9.931
GTEX-TML8-0926-SM-4DXSJ,7.429,5.0264,8.4601,11.0349,8.8132,9.647,4.7288,3.4223,,,,TCGA-25-1319-01,10.1684,9.4726,10.2504,11.1643,9.9886,10.0236,7.8874,9.4384
GTEX-13OVJ-2426-SM-5KM3I,7.3371,4.7133,6.9446,11.1429,9.6571,8.841,1.2191,1.8703,,,,TCGA-25-1627-01,11.0989,9.071,12.0401,11.4,9.3434,9.5169,7.5258,8.6616
GTEX-133LE-1226-SM-5IFGC,8.0319,6.1064,9.0987,11.555,9.1939,9.7807,5.9567,4.9484,,,,TCGA-25-1630-01,10.1576,9.509,10.2876,11.1757,9.2473,8.3835,8.3681,8.6604
GTEX-13PVR-1226-SM-5RQJ2,8.27,1.3987,8.4697,11.337,8.3804,9.4763,4.4775,2.9158,,,,TCGA-25-1631-01,9.9943,8.1069,10.565,11.7714,9.4939,10.2499,7.2357,8.084
GTEX-1117F-2226-SM-5N9CH,6.3842,3.8832,7.4681,10.5457,10.4159,8.5083,1.9073,1.9073,,,,TCGA-04-1343-01,11.1496,8.9954,9.6447,11.3002,10.2391,9.0992,6.6809,7.8844
GTEX-OHPL-2426-SM-48TDN,8.5343,4.7825,7.818,12.2418,8.7031,9.4797,2.0427,3.373,,,,TCGA-09-2053-01,11.2226,8.8075,10.6816,11.5035,9.6841,9.3949,8.5843,8.4702
GTEX-S341-0726-SM-4AD5R,8.5229,2.5349,7.3042,11.3648,8.9885,9.5819,3.6991,1.7645,,,,TCGA-13-0724-01,10.3391,8.6367,10.2825,10.8936,9.3428,9.7408,7.0458,8.7263
GTEX-PWOO-1726-SM-48TDC,7.2265,6.4064,9.2193,11.6928,8.8379,9.3618,3.9229,4.8746,,,,TCGA-24-1850-01,11.4094,8.2922,9.8248,11.9061,10.0549,10.497,8.1456,9.366
GTEX-QCQG-1426-SM-48U22,7.2835,4.1859,7.4732,11.5334,8.0881,9.8313,2.5087,2.0452,,,,TCGA-24-2024-01,9.5653,7.5752,10.3866,11.008,9.3438,9.7717,7.4552,8.8172
GTEX-S32W-1226-SM-4AD67,8.0939,0,6.1384,11.3394,9.679,9.7199,1.9175,1.2563,,,,TCGA-25-1323-01,11.215,9.5066,10.6283,11.8897,10.9318,10.248,8.1949,8.9771
GTEX-14AS3-1326-SM-5RQJE,7.1876,1.3176,5.6077,10.8639,9.1782,9.2874,2.8012,0,,,,TCGA-29-1693-01,9.6036,8.5499,10.0695,10.9608,10.7005,9.6443,6.509,7.858
GTEX-RU1J-0826-SM-46MUU,8.6534,2.9864,6.8401,11.5148,8.5571,9.8949,5.8868,2.366,,,,TCGA-WR-A838-01,10.3841,9.8553,11.0901,11.4226,10.4104,10.8466,8.8677,9.003
GTEX-XUZC-1026-SM-4BOPY,8.111,0,7.4476,11.9827,8.2054,9.6784,2.5303,1.3743,,,,TCGA-10-0928-01,11.0109,9.2548,10.6479,11.3955,10.3236,9.0424,9.6429,8.5913
GTEX-ZV6S-1426-SM-59HKX,7.0199,4.0354,9.1062,11.4594,7.6588,8.9879,3.2324,4.0354,,,,TCGA-13-0727-01,11.8866,9.3694,8.9687,11.7255,9.8484,8.9384,7.5015,9.2387
GTEX-13OVI-0726-SM-5L3DD,7.6549,2.7862,6.7437,11.1589,8.2128,9.5932,0,1.9815,,,,TCGA-13-0730-01,11.4263,8.9029,9.5125,11.9241,10.467,10.8982,8.242,8.5591
,,,,,,,,,,,,TCGA-24-1469-01,12.0477,9.9026,10.8426,11.2047,10.295,10.2831,9.7767,10.3906
,,,,,,,,,,,,TCGA-24-1544-01,11.2233,8.1553,9.4009,11.7274,11.7357,10.0339,7.2055,8.0354
,,,,,,,,,,,,TCGA-25-1623-01,11.2098,9.4136,10.1421,11.9287,10.4163,9.8867,7.7455,8.6049
,,,,,,,,,,,,TCGA-25-1635-01,10.7417,8.7533,9.5858,11.758,8.8778,9.7991,8.896,10.0445
,,,,,,,,,,,,TCGA-25-2396-01,10.9178,8.8839,9.7403,11.03,10.0089,9.2209,8.2362,10.0629
,,,,,,,,,,,,TCGA-25-2398-01,11.1587,7.9828,10.6001,11.3681,10.2293,9.722,8.0699,8.8547
,,,,,,,,,,,,TCGA-25-2409-01,9.3974,7.8291,9.9239,11.5676,10.6499,9.1239,6.7551,8.92
,,,,,,,,,,,,TCGA-61-1733-01,10.1709,9.1721,9.3103,11.5041,9.442,10.3841,7.4309,7.5962
,,,,,,,,,,,,TCGA-61-1740-01,11.2287,9.1488,10.0882,11.491,8.7315,9.329,9.0683,10.681
,,,,,,,,,,,,TCGA-61-2097-01,9.6631,6.9611,9.882,11.0153,9.018,9.4146,6.3138,8.0899
,,,,,,,,,,,,TCGA-04-1332-01,11.3093,9.6204,9.7511,11.6506,9.8132,9.0363,7.1187,8.7055
,,,,,,,,,,,,TCGA-13-0885-01,11.5369,10.03,9.9403,11.042,9.5264,9.0898,6.8879,9.0733
,,,,,,,,,,,,TCGA-13-1489-01,10.6849,7.3438,9.6847,11.3714,9.9879,9.6141,7.6738,9.3616
,,,,,,,,,,,,TCGA-24-1463-01,11.0299,9.3498,10.4856,11.2326,10.3807,9.7936,9.8343,9.2271
,,,,,,,,,,,,TCGA-24-1464-01,9.5979,7.4457,11.1696,11.1816,9.6215,9.2341,7.6095,8.2788
,,,,,,,,,,,,TCGA-24-2288-01,10.5816,8.5804,10.3128,11.5047,9.6444,8.9351,8.9596,8.7927
,,,,,,,,,,,,TCGA-25-1871-01,11.8247,8.7382,11.3141,12.3859,11.0825,10.9719,9.0664,8.4037
,,,,,,,,,,,,TCGA-10-0936-01,11.7674,8.1453,9.3913,12.2081,10.9743,8.9728,8.692,8.9976
,,,,,,,,,,,,TCGA-24-1545-01,9.5568,9.0318,9.5341,10.6841,10.6304,9.359,7.3446,7.9851
,,,,,,,,,,,,TCGA-25-1312-01,11.3466,9.3369,10.2696,11.5856,10.8301,9.9946,8.1487,9.6438
,,,,,,,,,,,,TCGA-29-1781-01,10.9194,9.9713,9.2021,11.3673,10.559,9.4693,8.6708,9.2072
,,,,,,,,,,,,TCGA-04-1530-01,11.8702,9.7025,11.3324,11.3347,9.5979,9.0553,8.1755,8.2503
,,,,,,,,,,,,TCGA-24-1418-01,10.4284,9.6555,10.6101,10.7989,9.7913,9.6231,8.2002,9.1447
,,,,,,,,,,,,TCGA-24-1430-01,9.531,8.8859,10.9169,11.137,10.608,8.9375,7.9127,9.0598
,,,,,,,,,,,,TCGA-24-2038-01,6.6408,5.894,9.0496,11.3759,9.1692,9.0395,5.7025,5.4376
,,,,,,,,,,,,TCGA-24-2281-01,11.2567,10.0316,10.8242,12.2263,10.6161,9.4487,8.3342,9.6247
,,,,,,,,,,,,TCGA-24-2289-01,8.4556,9.3366,9.4202,12.0052,10.2094,10.2002,7.8194,7.8875
,,,,,,,,,,,,TCGA-25-1632-01,9.278,8.3001,10.5999,11.3284,9.6566,9.8635,7.5075,8.4921
,,,,,,,,,,,,TCGA-30-1714-01,9.2747,8.0398,9.8649,10.6426,10.4339,10.2092,7.7711,9.1233
,,,,,,,,,,,,TCGA-09-0367-01,9.4901,8.8121,9.6228,11.1346,8.7056,9.7867,5.5468,7.7633
,,,,,,,,,,,,TCGA-13-0886-01,11.0524,8.0701,10.5011,11.4976,9.4923,9.0565,7.8531,9.1902
,,,,,,,,,,,,TCGA-13-A5FT-01,10.8729,8.6669,11.3783,11.2538,9.4236,9.7074,9.3998,10.5521
,,,,,,,,,,,,TCGA-23-1022-01,11.1781,8.2694,9.4726,10.7832,10.0999,8.9681,7.0333,8.6078
,,,,,,,,,,,,TCGA-24-1424-01,10.9099,9.8295,11.1423,12.0673,10.3606,10.3601,9.6764,9.6253
,,,,,,,,,,,,TCGA-24-1431-01,10.4433,9.9507,9.4435,11.6234,9.6389,9.8073,6.4183,9.6775
,,,,,,,,,,,,TCGA-24-1562-01,9.6229,9.3893,10.0268,11.2387,9.3165,9.3153,8.3827,9.0186
,,,,,,,,,,,,TCGA-24-1564-01,9.36,8.1721,10.2976,10.9779,11.1662,9.3281,7.0551,9.0572
,,,,,,,,,,,,TCGA-24-2020-01,11.7282,9.2202,10.7841,11.5512,10.6188,10.3816,9.5981,8.5965
,,,,,,,,,,,,TCGA-25-1628-01,11.5988,9.5277,10.5752,11.8688,10.6467,9.8739,9.002,9.0216
,,,,,,,,,,,,TCGA-61-2000-01,10.2412,10.1012,11.5878,11.2575,10.3498,10.9691,8.8677,8.641
,,,,,,,,,,,,TCGA-13-0795-01,10.8468,8.7235,8.7196,11.123,9.1081,9.0242,6.596,10.0864
,,,,,,,,,,,,TCGA-13-1492-01,11.049,10.4322,11.1986,11.6653,9.6041,10.1667,9.9755,10.9239
,,,,,,,,,,,,TCGA-23-2078-01,11.2189,9.4954,11.1553,11.6671,10.6493,9.397,8.7094,10.5523
,,,,,,,,,,,,TCGA-24-1563-01,9.4949,7.9695,9.9833,10.7262,10.5659,9.8202,7.3201,8.2646
,,,,,,,,,,,,TCGA-24-1604-01,9.6999,8.4279,11.72,11.639,10.6108,9.8202,6.0728,8.2
,,,,,,,,,,,,TCGA-24-1843-01,10.2058,10.0583,10.633,11.9756,10.0979,10.3778,8.7693,10.2092
,,,,,,,,,,,,TCGA-25-1317-01,10.1414,7.7685,10.7362,11.4617,11.1055,9.5451,8.698,8.77
,,,,,,,,,,,,TCGA-25-1625-01,9.5383,10.4838,10.0565,11.9614,9.0842,9.5241,5.8283,8.4834
,,,,,,,,,,,,TCGA-29-1690-01,8.2608,6.7659,9.0577,11.1257,10.0709,9.0854,5.911,6.284
,,,,,,,,,,,,TCGA-29-A5NZ-01,10.3279,10.0215,11.7294,11.1141,10.5686,10.1962,10.1724,10.5995
,,,,,,,,,,,,TCGA-57-1586-01,11.0188,9.6985,11.1991,11.2813,10.6017,9.4308,9.0892,9.6859
,,,,,,,,,,,,TCGA-10-0927-01,9.4339,7.1337,9.2348,11.2779,10.1161,9.6058,7.3061,7.5994
,,,,,,,,,,,,TCGA-13-0762-01,11.9707,8.4963,10.5779,11.0933,10.4759,9.4912,6.4845,8.0627
,,,,,,,,,,,,TCGA-13-0920-01,11.4097,8.7995,10.8732,11.005,9.3711,10.0936,7.7854,7.8868
,,,,,,,,,,,,TCGA-13-1496-01,10.5442,9.2423,10.4304,11.4884,8.9527,9.6308,6.887,8.8747
,,,,,,,,,,,,TCGA-20-1683-01,11.0528,10.6706,10.4664,11.2911,10.4322,10.0268,9.6609,10.3115
,,,,,,,,,,,,TCGA-24-1924-01,10.7798,9.0665,10.3788,11.3998,10.659,9.82,7.9119,9.0515
