,E2F1-h,E2F2-h,E2F3-h,E2F4-h,E2F5-h,E2F6-h,E2F7-h,E2F8-h,,,,E2F1-s,E2F2-s,E2F3-s,E2F4-s,E2F5-s,E2F6-s,E2F7-s,E2F8-s
GTEX-XUYS-0008-SM-47JYZ,6.1814,4.9146,9.9567,11.2072,7.3932,9.379,6.7946,4.2896,,,TCGA-BF-AAP4-01,11.0111,9.0924,11.1837,11.6625,5.4743,10.4937,9.1482,6.808
GTEX-WFG7-0008-SM-4LMKB,5.1802,0,9.8129,11.7526,7.7081,9.1124,6.9389,1.0958,,,TCGA-IH-A3EA-01,10.9055,8.6538,10.8244,11.0552,7.4831,9.2516,8.4856,5.6786
GTEX-XPT6-0008-SM-4B64Q,8.5713,6.9372,10.0207,11.5274,7.6052,8.8543,7.6432,6.948,,,TCGA-EB-A44N-01,9.6109,9.0091,10.473,11.168,7.6864,9.0394,8.0985,8.0347
GTEX-X5EB-0008-SM-46MU3,8.2721,6.2031,10.3464,11.1336,7.7235,9.027,8.4141,7.0738,,,TCGA-BF-AAP8-01,8.1175,5.4355,11.1855,11.1844,10.0715,9.7019,5.2293,5.1534
GTEX-OXRL-0008-SM-3NB29,5.9045,1.5779,10.0261,11.6998,8.3972,10.0299,8.8588,0,,,TCGA-EB-A3XF-01,8.9561,7.6696,10.2567,11.5214,7.2003,9.6981,7.4723,7.1142
GTEX-ZEX8-0008-SM-4E3JU,5.6342,4.1367,9.6026,11.2287,7.4774,9.083,5.3897,3.4534,,,TCGA-ER-A2NB-01,9.7123,8.7595,8.5216,11.3009,6.2619,8.5106,5.848,3.8063
GTEX-U3ZG-0008-SM-47JWL,5.5778,2.2007,9.998,11.1306,7.395,9.3383,7.4794,3.0346,,,TCGA-BF-A1PX-01,10.7366,9.9532,10.1376,10.9875,6.6268,10.064,7.7594,7.1521
GTEX-ZDYS-0008-SM-4E3IX,5.7635,2.4445,10.1605,11.6682,8.0601,9.8117,7.5799,1.9863,,,TCGA-EB-A24C-01,9.0378,6.6624,10.2576,11.2066,8.4649,9.0714,7.3767,5.8709
GTEX-RWSA-0008-SM-47JYX,10.1785,8.6403,10.1797,11.4159,6.4105,9.2331,9.4895,8.2579,,,TCGA-EB-A57M-01,10.6032,8.5976,10.1709,11.393,7.6391,8.8841,6.6477,5.8886
GTEX-T6MN-0008-SM-4DM7H,4.6088,1.9727,9.2338,11.6257,7.1481,9.1937,6.24,0,,,TCGA-EB-A5VU-01,9.3243,8.8938,11.061,11.2577,8.4122,9.9207,8.4226,7.7336
GTEX-WHWD-0008-SM-4OOSU,7.511,5.382,9.7212,11.1826,7.5226,8.9671,6.93,5.9688,,,TCGA-BF-AAP6-01,10.5952,8.6982,9.8734,11.6216,8.2388,10.375,9.5349,8.09
GTEX-WH7G-0008-SM-4LVNM,6.8428,5.5396,9.7467,10.8963,7.1402,8.786,6.7562,5.6204,,,TCGA-D9-A3Z4-01,9.8873,8.2395,10.4616,10.6113,9.5039,9.9016,7.5879,5.9694
GTEX-WZTO-0008-SM-4PQZZ,9.787,9.1602,9.9851,11.4472,6.5542,8.8864,9.9472,9.5197,,,TCGA-EB-A51B-01,11.1921,9.316,10.4984,11.495,8.4143,9.658,9.6366,5.9088
GTEX-U3ZH-0008-SM-4DXT2,5.1952,1.0565,9.6284,11.5523,7.4368,9.2981,7.6572,1.0565,,,TCGA-ER-A2NF-01,9.1035,7.4406,11.3218,10.728,7.371,9.374,6.9213,4.9967
GTEX-XMD1-0008-SM-4AT41,9.132,7.4112,10.0091,11.4681,7.0187,8.8472,9.168,7.3546,,,TCGA-ER-A19T-01,10.5556,9.0035,11.1493,10.9638,7.3372,10.3225,8.3429,7.0649
