samples,E2F1-h,E2F2-h,E2F3-h,E2F4-h,E2F5-h,E2F6-h,E2F7-h,E2F8-h,,,samples,E2F1-s,E2F2-s,E2F3-s,E2F4-s,E2F5-s,E2F6-s,E2F7-s,E2F8-s,,,,,,
GTEX-131XE-1026-SM-5EGKE,7.3811,0,8.0813,11.6771,8.97,9.5534,1.7515,0,,,TCGA-D5-7000-01,9.4503,9.3901,9.9994,11.4657,9.2128,9.0449,9.4212,8.8921,,,,,,
GTEX-145MH-2726-SM-5QGQ6,5.922,1.3386,7.8855,11.2298,9.1201,9.0583,2.4821,0,,,TCGA-DM-A1D0-01,10.4424,9.6057,10.3138,11.9947,9.777,9.7002,8.2907,9.7275,,,,,,
GTEX-12696-1926-SM-5EGJT,6.9337,2.2021,8.1143,11.3727,8.2407,9.313,0,3.5612,,,TCGA-CM-6680-01,8.9676,7.7786,9.9551,11.2994,9.0092,8.8311,7.6641,8.8051,,,,,,
GTEX-145MO-2626-SM-5QGPD,6.9669,1.7696,7.7593,11.0369,9.0223,9.1356,2.2062,2.2062,,,TCGA-F4-6570-01,9.68,8.7058,9.5964,11.5506,8.4577,9.0351,8.2631,8.5658,,,,,,
GTEX-13O61-1526-SM-5KM3P,6.17,1.1672,8.2465,11.2941,7.8671,9.4369,1.1672,0,,,TCGA-AZ-6598-01,9.6104,9.8143,9.627,10.8311,7.3573,9.5104,8.5971,8.911,,,,,,
GTEX-XAJ8-0726-SM-47JY5,7.5278,5.1185,8.8407,11.7565,8.0768,9.4707,2.9537,3.9859,,,TCGA-AZ-6603-01,10.5548,9.0253,10.0722,12.0883,9.2874,9.3002,8.3729,9.0402,,,,,,
GTEX-ZZ64-0826-SM-5E449,6.706,3.5199,9.1755,11.4435,7.3099,9.6799,0,2.3006,,,TCGA-CM-6171-01,9.6041,9.3266,9.7347,11.0328,8.339,9.9203,10.0047,9.6656,,,,,,
GTEX-ZF28-2526-SM-57WFH,6.6582,2.6001,8.3833,11.5512,8.9017,9.279,3.6314,0,,,TCGA-D5-6920-01,9.8119,9.661,9.8985,11.5182,8.8607,8.8439,8.1415,9.3793,,,,,,
GTEX-ZQUD-1026-SM-4YCEZ,7.6898,9.691,9.2701,11.7018,8.1846,8.2351,6.3867,8.0946,,,TCGA-F4-6854-01,11.1238,9.237,9.2766,12.0675,8.6842,9.3292,8.303,8.6704,,,,,,
GTEX-13PVQ-2726-SM-5L3H7,5.9608,0,8.3525,11.2904,8.8337,9.0421,0,1.3189,,,TCGA-G4-6625-01,10.6329,9.6132,10.5297,11.9618,8.7869,9.2274,8.4132,9.1205,,,,,,
GTEX-ZG7Y-1826-SM-4WWD3,6.4807,5.0012,8.1488,11.5598,8.3457,9.4345,3.0286,2.1953,,,TCGA-G4-6314-01,10.6971,8.7575,10.3066,11.6003,10.269,9.4305,7.9026,10.002,,,,,,
GTEX-WY7C-1926-SM-4ONCI,7.4435,3.7295,8.2903,11.1,7.5289,9.0153,1.8974,1.8974,,,TCGA-A6-2684-01,9.069198154,9.537469227,10.57213586,11.03793678,9.897533393,9.39234126,8.496236834,8.805031167,,,,,,
GTEX-Y3I4-1126-SM-4TT7Y,7.666,3.7688,8.9539,11.5624,8.1275,9.6667,3.3485,1.7209,,,TCGA-CM-6677-01,10.7151,9.0743,9.8707,12.0518,10.0515,9.1802,7.699,9.5566,,,,,,
GTEX-117YX-0526-SM-5EGJH,6.9514,3.1165,8.7157,11.5314,7.5652,9.8642,2.8863,3.3149,,,TCGA-AD-A5EJ-01,10.4901,10.0288,9.7565,11.6336,8.5411,9.4257,9.4943,9.0853,,,,,,
GTEX-111CU-1226-SM-5EGIN,6.1265,3.7983,8.4497,11.5142,7.7972,9.4999,0,0,,,TCGA-AY-A54L-01,10.2728,9.3099,10.312,11.5446,9.961,9.2901,8.4026,9.1041,,,,,,
GTEX-WOFM-1926-SM-4OOSP,6.7469,9.1587,9.231,11.7317,8.3346,8.4786,5.1886,7.6629,,,TCGA-CM-6170-01,9.6576,7.8434,10.218,12.1212,9.5273,9.5423,7.473,8.5223,,,,,,
GTEX-ZYFD-2226-SM-5E43P,6.3214,4.0038,10.3215,12.2776,9.4254,10.0822,3.0911,1.1722,,,TCGA-G4-6586-01,10.319,9.9573,9.3591,11.6503,8.6457,9.0371,8.2057,8.6955,,,,,,
GTEX-ZAB5-1426-SM-5HL9D,6.6637,0,7.6566,11.4626,8.9523,9.3177,2.2813,0,,,TCGA-DM-A28E-01,10.5417,9.302,10.0596,11.9056,8.6929,9.3653,8.4934,8.4356,,,,,,
GTEX-13O1R-2426-SM-5KLZZ,4.9207,1.922,9.5746,12.1005,8.4438,9.4902,0,0,,,TCGA-A6-3809-01,8.16480803,8.875378306,10.20391763,11.10505513,9.411030839,9.80414939,10.44719177,8.889450174,,,,,,
GTEX-12BJ1-2026-SM-5FQUH,7.2598,2.2842,9.1118,11.4276,7.4387,9.8059,1.8402,2.2842,,,TCGA-AZ-4614-01,9.6878,7.3981,10.4306,12.1752,8.9723,9.8378,7.2426,8.9886,,,,,,
GTEX-ZTSS-1226-SM-51MSZ,7.4358,1.5115,8.8222,11.6465,8.0851,9.9314,2.2332,0.9452,,,TCGA-CK-5916-01,9.0692,9.1267,10.0309,10.7752,9.1533,9.0519,8.8252,9.2549,,,,,,
GTEX-1339X-1726-SM-5P9J9,6.2929,4.23,8.7002,11.8389,7.7677,9.4979,2.6031,2.2651,,,TCGA-DM-A0X9-01,10.1953,9.2345,10.1434,11.7957,9.4545,9.2058,9.3074,9.3159,,,,,,
GTEX-11P7K-1826-SM-5HL5A,5.3408,1.2126,8.484,11.3778,7.3704,9.3178,1.2126,1.2126,,,TCGA-DM-A1DA-01,10.96,10.0428,10.3541,12.1746,9.7956,10.2751,8.1363,9.1807,,,,,,
GTEX-ZLFU-1426-SM-4WWEU,7.151,1.1483,8.572,11.6501,7.4164,9.5922,1.7795,1.7795,,,TCGA-DM-A285-01,10.4693,8.8348,10.6065,12.0782,9.4916,9.5712,8.6658,9.4188,,,,,,
GTEX-WFG8-1726-SM-4LVM6,7.1884,5.784,8.4869,11.3216,7.0715,9.5569,3.7243,5.784,,,TCGA-NH-A6GB-01,11.1837,9.0782,10.3171,11.8173,9.4041,9.7022,8.5865,8.9941,,,,,,
GTEX-12WSL-1826-SM-5LZW9,6.7322,4.0203,9.2163,11.8811,8.6058,9.5718,1.8228,3.7749,,,TCGA-CM-6172-01,10.0031,8.3082,9.5544,11.8654,8.5875,8.9215,8.2768,9.4767,,,,,,
GTEX-WYJK-2326-SM-4ONDN,7.692,9.499,8.8781,11.64,8.1988,8.5744,5.5926,8.0316,,,TCGA-DM-A280-01,8.9688,8.66,9.3688,10.9731,8.6484,9.1661,7.5633,8.1159,,,,,,
GTEX-11TT1-0926-SM-5GU5M,6.3427,5.2401,9.5733,11.7993,7.7441,9.6673,2.6453,3.1513,,,TCGA-F4-6855-01,8.9784,7.0801,9.8285,11.241,8.5676,9.1721,7.343,8.0486,,,,,,
GTEX-ZT9W-1726-SM-51MS3,6.7868,2.366,8.196,11.4384,8.0728,9.6908,1.9146,0,,,TCGA-G4-6295-01,11.059,10.0178,11.0534,12.323,10.2427,10.413,9.4336,9.6894,,,,,,
GTEX-ZVZP-2026-SM-57WB3,7.7776,2.9683,8.5164,11.3433,7.7463,9.637,2.1418,3.873,,,TCGA-A6-6650-01,10.81704493,10.30641233,11.00588962,11.881772,9.624686745,9.898741541,9.643380773,9.902351813,,,,,,
GTEX-ZA64-1426-SM-5CVMC,6.7384,3.6109,9.1009,11.3293,7.6246,9.7995,1.38,2.8895,,,TCGA-AU-6004-01,9.7964,9.5986,10.0044,11.7277,9.6687,9.3544,7.9228,9.1212,,,,,,
GTEX-WFG8-1726-SM-5CHTE,0,0,0,0,0,0,0,0,,,TCGA-A6-2677-01,10.26940001,9.111129545,10.76087517,11.50505178,12.13321876,10.36396257,9.027686995,9.530170226,,,,,,
GTEX-11ZTS-1526-SM-5N9G7,7.0097,2.5423,8.6141,11.4385,9.5258,9.0448,2.2075,1.7709,,,TCGA-AM-5821-01,9.4665,6.9587,9.7026,11.8306,9.7707,9.6807,10.2512,7.7299,,,,,,
GTEX-145LS-2926-SM-5O99G,6.1999,1.0582,7.7501,10.8638,9.206,8.6857,1.662,1.0582,,,TCGA-CK-4950-01,10.1175,9.8998,9.6792,11.6051,8.6691,9.4331,8.7103,8.916,,,,,,
GTEX-11EMC-1426-SM-5N9E4,7.2378,3.7629,7.9239,11.7045,9.7183,9.0092,1.5532,2.2837,,,TCGA-CM-5349-01,10.2519,7.7773,10.1793,11.5991,9.7879,9.022,7.613,9.2895,,,,,,
GTEX-13U4I-2626-SM-5SI9C,6.5382,4.8198,8.1708,11.4675,9.2328,9.2302,2.9654,2.7389,,,TCGA-D5-6533-01,10.7562,8.8742,10.5826,12.0693,9.5022,9.718,8.3465,9.3673,,,,,,
GTEX-WYVS-1126-SM-4SOJX,7.0546,1.6296,7.9303,11.2469,9.1673,9.0155,2.0501,1.6296,,,TCGA-DM-A0XF-01,11.9167,10.1442,10.6812,12.1853,10.3547,9.8258,8.4316,9.5052,,,,,,
GTEX-131YS-2926-SM-5EGKI,6.5163,3.1872,7.465,11.4384,9.0764,9.0466,1.8886,2.3375,,,TCGA-NH-A50T-01,10.9338,9.0144,10.3993,12.141,9.8421,9.6889,9.1733,9.0844,,,,,,
GTEX-ZF2S-1826-SM-4WKFF,6.369,4.4204,8.8847,11.6033,8.8699,9.2543,1.6548,3.2623,,,TCGA-DM-A1D9-01,10.0664,9.1658,10.5428,11.9745,9.9021,9.5114,8.0594,9.5713,,,,,,
GTEX-ZVT4-2626-SM-5N9GJ,7.0951,4.1317,8.8466,11.3035,9.667,9.4011,3.516,1.852,,,TCGA-AY-6386-01,9.3377,9.9693,9.5574,11.3122,8.1991,8.7477,7.7677,9.3316,,,,,,
GTEX-12ZZX-2726-SM-5N9FT,6.9297,0.9706,7.7287,11.3574,9.4006,9.0907,0,0,,,TCGA-G4-6304-01,9.7318,8.8504,9.4959,11.559,9.0261,8.716,7.0145,8.6392,,,,,,
GTEX-12WSG-2426-SM-5EQLZ,6.8749,2.7213,8.8656,11.407,8.7051,9.1738,1.0833,1.0833,,,TCGA-NH-A6GC-01,9.4,8.963,9.9113,12.1755,8.602,9.4085,7.845,8.2887,,,,,,
GTEX-13X6K-2726-SM-5O9DG,6.7209,1.9068,7.8748,10.9691,8.8997,8.8229,1.5024,3.7899,,,TCGA-A6-6654-01,9.8114,8.0983,9.9298,12.0749,8.6171,9.2698,7.477,9.1338,,,,,,
GTEX-X4EO-2726-SM-4E3HS,6.9757,2.9428,8.1449,11.0786,9.1746,8.8189,1.0805,1.0805,,,TCGA-AY-5543-01,9.9783,9.7596,10.4705,11.7439,9.3898,9.7733,8.0935,8.9538,,,,,,
GTEX-Y114-1626-SM-4TT7I,7.5808,4.2368,8.7298,11.2014,7.612,9.5975,3.7965,3.4488,,,TCGA-QG-A5YV-01,10.3045,9.6069,10.5735,11.848,9.2396,9.4719,9.1239,9.8454,,,,,,
GTEX-11P81-1426-SM-5P9JN,5.805,1.0398,7.3068,11.1646,7.8163,8.9433,1.0398,2.0593,,,TCGA-CM-5861-01,8.954,8.0621,9.3939,10.6508,9.0014,8.8905,7.7646,8.3851,,,,,,
GTEX-14A5I-2426-SM-5Q5CP,6.2535,2.6878,8.4928,11.3885,9.3285,9.2238,1.4928,1.4928,,,TCGA-CM-6678-01,9.3674,8.3248,10.0291,11.4077,8.9904,9.2475,7.9675,7.9227,,,,,,
GTEX-WI4N-2226-SM-4OOS9,5.956,4.1841,8.6192,11.2488,8.6425,9.0869,4.5792,2.9411,,,TCGA-D5-6534-01,8.5269,7.8386,10.145,11.3199,7.4192,9.4489,7.3416,6.6296,,,,,,
GTEX-146FH-2426-SM-5Q5EW,8.0593,5.3682,8.3429,11.4684,8.9762,9.3711,2.2565,3.4693,,,TCGA-3L-AA1B-01,9.3732,8.2663,10.1615,11.6317,9.6104,9.5217,7.9146,8.0241,,,,,,
GTEX-132AR-2826-SM-5IJFV,4.7071,3.8606,7.558,11.8822,9.2007,9.426,2.2824,2.2824,,,TCGA-F4-6459-01,8.8999,8.0459,10.0341,11.9489,9.5239,8.9581,7.6415,8.7574,,,,,,
GTEX-1122O-1426-SM-5H11R,7.2464,2.7195,9.137,11.6737,8.3985,9.8043,2.1217,2.7195,,,TCGA-QG-A5YX-01,10.0797,9.9866,9.5946,11.5712,8.8217,9.3788,7.9331,9.6258,,,,,,
GTEX-11DXX-1926-SM-5EGJK,6.3128,2.4063,8.8187,11.7358,7.9501,9.7082,3.2634,1.0533,,,TCGA-CM-5863-01,8.6199,7.5652,9.8241,10.7646,9.3838,9.0367,6.8162,7.4408,,,,,,
GTEX-ZQG8-2426-SM-57WEE,6.5078,4.6804,8.7395,11.3592,7.9395,9.0599,2.8931,4.0935,,,TCGA-D5-5538-01,9.5626,8.5449,10.0274,11.5297,9.2955,9.8533,7.9649,8.3216,,,,,,
GTEX-145ME-1126-SM-5SIAT,7.1647,1.6519,8.9414,11.3442,8.4093,9.6074,1.6519,1.0505,,,TCGA-DM-A282-01,10.526,7.809,10.5029,11.7193,8.9642,9.0878,7.7365,8.003,,,,,,
GTEX-ZVT3-2826-SM-5GU6A,5.9391,2.3548,7.846,11.353,8.9364,9.1097,1.9044,1.9044,,,TCGA-G4-6321-01,8.0089,8.3367,8.4994,10.987,7.8207,8.003,5.841,7.3733,,,,,,
GTEX-X15G-1526-SM-4PQZM,6.9519,2.1727,7.3589,11.5796,9.0673,9.0871,2.6469,1.4617,,,TCGA-AM-5820-01,9.525,7.6611,10.7062,11.6278,9.7813,9.966,8.5029,8.696,,,,,,
GTEX-ZE7O-2626-SM-51MSS,5.9435,1.2485,7.9581,10.9789,9.3934,9.1105,0,1.2485,,,TCGA-CM-5868-01,10.2733,8.7294,10.1235,11.9735,9.3336,9.5567,7.9677,8.9936,,,,,,
GTEX-ZV6S-1126-SM-57WE9,8.3614,5.5683,9.049,11.6428,7.9592,9.335,4.331,4.2296,,,TCGA-F4-6806-01,9.0556,6.9246,9.7131,11.4289,8.9388,8.764,7.1757,7.7269,,,,,,
GTEX-XV7Q-2226-SM-4BRVY,5.3775,1.068,7.445,11.1874,9.1393,9.1495,2.6966,0,,,TCGA-CK-5913-01,9.8356,8.8615,9.7944,11.3382,9.3225,9.0306,8.8059,9.0185,,,,,,
GTEX-13OVJ-1826-SM-5KM2D,6.6109,4.2164,8.0895,11.2033,8.5439,8.8831,1.8126,2.8643,,,TCGA-F4-6805-01,9.3053,9.1049,10.0149,11.3899,9.5029,9.0277,7.6345,8.9746,,,,,,
GTEX-ZP4G-1526-SM-57WE5,6.7185,1.919,7.7212,11.4212,7.9276,9.448,1.919,0,,,TCGA-G4-6588-01,9.9073,10.5893,9.3841,11.4656,7.5984,9.1947,9.3213,9.7358,,,,,,
GTEX-ZLV1-1326-SM-4WWER,6.6025,1.7301,8.9434,11.4763,7.2253,9.3726,0,3.3604,,,TCGA-CM-6167-01,9.4151,7.5034,9.7095,11.2113,8.7012,9.3271,7.7696,7.7696,,,,,,
GTEX-13113-1426-SM-5EGHU,6.2457,7.4443,8.6053,11.4161,8.1775,8.6072,4.0532,6.5154,,,TCGA-A6-6142-01,9.8317,7.5319,9.8519,11.4762,9.206,9.357,7.2314,7.8219,,,,,,
GTEX-ZYFG-1826-SM-5GZWX,6.1312,2.8642,8.5903,11.2404,8.02,9.5294,2.8642,1.174,,,TCGA-A6-6651-01,10.3435,8.0185,10.1218,11.3433,8.6689,9.6327,8.2546,8.0033,,,,,,
GTEX-13OVI-2126-SM-5KM3U,7.6138,4.0343,8.3572,11.2325,7.1932,9.6686,1.1904,3.9167,,,TCGA-A6-A566-01,9.3616,9.0839,9.699,11.2312,8.256,9.0419,8.3487,8.5667,,,,,,
GTEX-11I78-1326-SM-5PNY9,6.5681,2.4241,9.4187,11.9391,7.6015,10.2692,2.4241,2.9165,,,TCGA-AY-A69D-01,10.6725,10.5464,11.2566,11.8603,8.6271,9.4852,9.8813,9.1002,,,,,,
GTEX-ZPIC-2626-SM-57WE2,6.8584,2.6955,8.6627,11.3146,8.1452,9.7936,2.0999,1.6741,,,TCGA-AZ-6608-01,10.8216,10.1086,10.3678,12.2074,9.1912,9.2399,8.5123,9.6517,,,,,,
GTEX-WRHK-1126-SM-4MVOJ,7.0433,7.058,8.8107,11.4238,7.8098,9.4541,4.5815,6.1257,,,TCGA-G4-6297-01,9.7047,8.3807,10.5786,11.9028,8.7374,9.7003,8.3874,8.1949,,,,,,
GTEX-13PVR-1726-SM-5Q5EC,7.5307,3.1773,8.4291,11.1077,7.7307,9.6984,0,1.1039,,,TCGA-QG-A5YW-01,9.1441,9.9222,10.6163,11.7367,9.708,9.3154,6.724,7.964,,,,,,
GTEX-12WSJ-1426-SM-5GCON,6.5095,4.225,9.1766,11.7208,7.8988,9.6624,2.0766,0,,,TCGA-AA-3509-01,9.6231,8.1678,10.5033,11.9297,10.2238,9.2143,7.9956,8.6853,,,,,,
GTEX-Y5LM-1426-SM-5RQJL,7.2147,7.3695,8.8015,11.6317,8.0065,9.3383,4.1558,6.5574,,,TCGA-AY-A71X-01,9.108,8.2315,10.0889,11.4902,9.0068,9.2135,7.4075,8.3097,,,,,,
GTEX-ZVZQ-2626-SM-59HLB,6.5756,2.3266,8.6315,11.1701,8.7631,9.2177,3.1751,0,,,TCGA-CA-5256-01,9.7176,7.7791,9.4088,11.4755,11.2129,9.5608,7.633,8.0419,,,,,,
GTEX-W5WG-2026-SM-4LMIB,7.1858,9.236,9.3382,11.8441,9.1174,8.3778,5.7968,7.7675,,,TCGA-F4-6808-01,10.7174,8.1555,10.1829,12.1449,8.9191,9.842,7.5353,8.3918,,,,,,
GTEX-1211K-1826-SM-5EGJ2,7.3567,3.0907,9.0528,11.3773,7.74,10.0194,2.2508,0,,,TCGA-G4-6303-01,9.9769,8.6673,10.0089,11.7408,10.0877,9.7403,8.1603,8.9244,,,,,,
GTEX-13CF3-1326-SM-5LZXZ,7.1067,3.283,9.1478,11.4407,7.5181,9.39,1.2961,2.4241,,,TCGA-NH-A8F7-01,11.0777,8.8337,10.4124,12.0266,9.1596,9.7488,8.7238,9.0312,,,,,,
GTEX-13VXT-2026-SM-5L3EW,7.2605,1.3014,8.2278,11.2094,7.9272,9.3601,0,1.3014,,,TCGA-CA-5796-01,7.84,6.4222,9.0989,10.766,9.0727,8.659,6.0817,8.0944,,,,,,
GTEX-ZF29-1826-SM-4WKG8,7.9681,7.6304,8.8914,11.4236,7.6788,9.5876,3.0225,4.5586,,,TCGA-F4-6809-01,10.3037,8.4739,10.0083,11.7742,9.0037,9.3448,7.3831,8.5523,,,,,,
GTEX-131XG-1526-SM-5GCNQ,7.0237,1.862,8.8232,11.4766,7.6779,9.2013,1.862,1.2126,,,TCGA-WS-AB45-01,9.4796,8.7501,10.1324,11.1841,7.3584,8.7324,8.5567,8.9226,,,,,,
GTEX-13FH7-1626-SM-5J2O9,7.2049,2.6186,8.841,11.4409,7.5536,9.755,1.1924,1.1924,,,TCGA-AA-3660-01,10.3429,9.0602,9.9406,11.7558,9.6081,9.1179,7.7668,9.3658,,,,,,
GTEX-11ZTT-1626-SM-5EQKR,7.7701,4.5171,8.8429,11.3657,7.5759,9.4214,4.1574,4.0144,,,TCGA-AZ-4313-01,10.5788,8.3533,8.9408,11.6448,9.0877,9.2315,8.7179,9.1622,,,,,,
GTEX-ZVT2-1726-SM-51MRO,7.6068,4.512,8.1344,11.5412,8.1563,9.6682,3.2456,3.4191,,,TCGA-AZ-5407-01,9.1286,8.8351,9.5537,11.2808,10.0796,8.9138,6.8445,9.2206,,,,,,
GTEX-13W3W-2226-SM-5LU4M,9.1383,10.0779,9.2992,11.7375,8.3909,8.6955,7.2785,9.1246,,,TCGA-D5-6898-01,10.0984,8.5379,9.9247,11.7017,10.806,9.3313,7.6096,9.143,,,,,,
GTEX-WXYG-1726-SM-4ONCU,7.3951,1.2126,7.9037,11.5166,8.0702,9.6863,1.862,0,,,TCGA-F4-6460-01,10.129,8.3115,10.456,12.4925,8.2537,9.6586,7.2523,9.0198,,,,,,
GTEX-ZAJG-2626-SM-5S2NU,6.6662,3.7623,7.837,11.7148,9.5183,9.3127,3.2296,1.9235,,,TCGA-F4-6807-01,9.4526,8.2579,10.3422,11.4864,9.4028,9.342,7.4588,9.2442,,,,,,
GTEX-14BMU-1326-SM-5RQIH,6.4435,3.2822,8.8094,11.466,7.4418,9.766,1.8048,2.2451,,,TCGA-G4-6317-01,9.8596,7.9633,9.1551,11.4431,10.3792,9.226,6.5069,7.6592,,,,,,
GTEX-XUW1-1826-SM-4BOQD,7.9666,2.9856,7.7166,11.7049,8.706,9.415,1.449,2.1571,,,TCGA-DM-A1D8-01,10.5814,9.0545,9.8542,11.8181,9.2817,9.3501,7.8788,8.9963,,,,,,
GTEX-13D11-0626-SM-5LZYY,6.0338,3.1802,7.5304,11.4198,7.9559,9.303,1.3857,0,,,TCGA-D5-6929-01,9.4043,8.2168,10.054,11.945,9.2767,9.9207,7.0067,8.7708,,,,,,
GTEX-XUJ4-2126-SM-4BOOX,8.1177,1.3386,8.7958,11.6152,7.9547,9.6426,2.4821,1.3386,,,TCGA-G4-6293-01,8.4065,8.5889,9.891,11.6084,8.8224,9.001,7.3715,7.8943,,,,,,
,,,,,,,,,,,TCGA-A6-2685-01,9.8178,8.5157,9.4982,11.7766,9.2535,8.9899,6.7739,7.4482,,,,,,
,,,,,,,,,,,TCGA-CK-4952-01,10.2837,9.6854,10.7804,11.4477,8.8887,9.079,9.7554,9.5556,,,,,,
,,,,,,,,,,,TCGA-CM-6162-01,8.9427,8.6603,10.2729,10.9906,8.6908,9.1901,8.4029,9.896,,,,,,
,,,,,,,,,,,TCGA-CM-6166-01,10.5712,8.462,10.6336,11.528,9.4283,9.7439,8.2056,9.1358,,,,,,
,,,,,,,,,,,TCGA-CK-4947-01,8.9874,9.216,10.1212,11.2206,9.4822,9.3471,8.4949,8.9478,,,,,,
,,,,,,,,,,,TCGA-CM-6164-01,10.7347,8.7771,9.9195,11.9945,9.13,9.4133,8.1422,8.8845,,,,,,
,,,,,,,,,,,TCGA-CK-4948-01,10.5929,9.2678,9.9705,12.3281,9.7086,9.2958,8.2361,9.3805,,,,,,
,,,,,,,,,,,TCGA-CK-6748-01,8.2419,6.8837,10.0698,11.1341,9.4382,9.2963,7.0115,7.3891,,,,,,
,,,,,,,,,,,TCGA-D5-6539-01,9.6793,10.148,10.2607,11.292,8.4341,8.6353,8.2513,9.7124,,,,,,
,,,,,,,,,,,TCGA-SS-A7HO-01,10.4631,9.3055,10.8587,12.3217,9.5312,9.4635,8.5684,9.7679,,,,,,
,,,,,,,,,,,TCGA-4T-AA8H-01,8.9913,8.856,9.6933,11.1332,9.4793,8.5529,7.6908,8.5614,,,,,,
,,,,,,,,,,,TCGA-CA-5254-01,10.089,7.8898,9.1544,12.0574,9.746,8.9757,8.8092,8.7143,,,,,,
,,,,,,,,,,,TCGA-F4-6461-01,9.323,8.3604,10.1541,11.1282,8.6661,9.1634,7.6148,7.4139,,,,,,
,,,,,,,,,,,TCGA-5M-AAT6-01,10.1435,9.3006,10.0012,12.1489,9.608,8.7647,9.1448,9.0371,,,,,,
,,,,,,,,,,,TCGA-A6-5667-01,10.8741,8.6823,9.8536,11.8197,9.8683,9.3985,8.4912,9.3688,,,,,,
,,,,,,,,,,,TCGA-G4-6309-01,10.2673,10.3616,9.7988,12.1124,8.4208,9.276,8.3668,10.0908,,,,,,
,,,,,,,,,,,TCGA-CM-5344-01,9.6787,7.8849,10.1217,11.4485,9.2228,9.2677,7.6359,8.4181,,,,,,
,,,,,,,,,,,TCGA-G4-6307-01,10.9817,9.4991,9.9749,12.1413,10.3169,9.0079,7.1904,8.9346,,,,,,
,,,,,,,,,,,TCGA-CM-6161-01,9.5227,8.7096,11.0737,11.3218,10.366,9.6916,8.1489,9.2878,,,,,,
,,,,,,,,,,,TCGA-A6-A565-01,9.5274,9.186,10.008,11.4058,8.8345,9.247,7.9619,8.4709,,,,,,
,,,,,,,,,,,TCGA-5M-AAT5-01,11.2669,9.8821,10.8514,12.5337,9.728,9.5628,8.4451,9.5909,,,,,,
,,,,,,,,,,,TCGA-5M-AATA-01,10.3824,9.5315,10.6443,11.5444,11.3718,10.2904,7.2094,7.8764,,,,,,
,,,,,,,,,,,TCGA-NH-A8F7-06,10.6996,9.6905,10.4791,12.6355,8.8511,9.4569,9.0807,8.9527,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,6.4139
,,,,,,,,,,,,,,,,,,,,,,,,,8.009349322
,,,,,,,,,,,,,,,,,,,,,,,,,5.5097
,,,,,,,,,,,,,,,,,,,,,,,,,7.1877
,,,,,,,,,,,,,,,,,,,,,,,,,5.9765
,,,,,,,,,,,,,,,,,,,,,,,,,5.4852
,,,,,,,,,,,,,,,,,,,,,,,,,7.8243
,,,,,,,,,,,,,,,,,,,,,,,,,7.9656
,,,,,,,,,,,,,,,,,,,,,,,,,2.9756
,,,,,,,,,,,,,,,,,,,,,,,,,8.0741
,,,,,,,,,,,,,,,,,,,,,,,,,9.1257
,,,,,,,,,,,,,,,,,,,,,,,,,6.8629
,,,,,,,,,,,,,,,,,,,,,,,,,8.3096
,,,,,,,,,,,,,,,,,,,,,,,,,7.7983
,,,,,,,,,,,,,,,,,,,,,,,,,4.712
,,,,,,,,,,,,,,,,,,,,,,,,,7.5247
