samples,E2F1-h,E2F2-h,E2F3-h,E2F4-h,E2F5-h,E2F6-h,E2F7-h,E2F8-h,,,samples,E2F1-s,E2F2-s,E2F3-s,E2F4-s,E2F5-s,E2F6-s,E2F7-s,E2F8-s,,,,,,
GTEX-111CU-1426-SM-5GZYP,8.9167,10.4045,9.6839,12.0589,8.2668,9.1142,7.1703,8.8271,,,TCGA-CM-6163-01,10.1904,8.7015,10.0539,11.9554,9.6489,9.3159,7.8356,8.7128,,,,,,
GTEX-WH7G-1326-SM-4LVMS,7.0924,8.2473,8.7886,11.6261,7.8992,8.9158,4.8277,7.0096,,,TCGA-CM-6165-01,9.7179,9.2334,9.9359,11.5165,8.764,9.1195,7.5027,8.4987,,,,,,
GTEX-14DAR-1526-SM-5RQIX,7.8243,9.4459,9.1486,11.5745,8.3925,8.8417,6.0781,8.2195,,,TCGA-DM-A28C-01,9.1281,9.0614,9.8137,11.1605,8.4539,8.4699,6.7377,8.6556,,,,,,
GTEX-Q2AI-0926-SM-48U1F,8.6402,10.1675,9.3037,11.9162,7.7899,8.4634,6.8129,8.4972,,,TCGA-A6-5660-01,9.6645,7.3926,10.2505,11.2911,10.3604,9.561,7.1843,8.3676,,,,,,
GTEX-1399R-2226-SM-5P9JB,9.5568,10.6151,9.4095,12.1112,8.5026,8.1301,7.2759,8.4915,,,TCGA-AA-3502-01,8.697,8.0559,9.7812,11.4234,10.0938,9.4862,7.4298,8.3979,,,,,,
GTEX-14E6E-1526-SM-5RQIG,6.8177,9.8643,8.3264,11.6727,7.7572,8.1614,4.4728,5.8785,,,TCGA-AA-A02Y-01,9.8819,8.0211,9.4684,11.4103,8.3072,9.0641,8.2687,8.2907,,,,,,
GTEX-SUCS-1026-SM-5CHTC,0,0,0,0,0,0,0,0,,,TCGA-AD-6888-01,10.6734,8.2365,10.0302,11.5714,8.5218,8.9912,7.011,8.1843,,,,,,
GTEX-WFG8-1526-SM-5CHSI,0,0,0,0,0,0,0,0,,,TCGA-D5-5540-01,10.6108,7.6864,10.5734,11.9374,11.5486,10.3894,9.0711,9.6846,,,,,,
GTEX-WFON-1426-SM-5CHT1,0,0,0,0,0,0,0,0,,,TCGA-D5-6536-01,9.4948,7.1045,10.0826,11.5913,9.2503,9.3776,7.8554,8.8898,,,,,,
GTEX-13W3W-2126-SM-5K7UX,5.7369,3.873,9.1942,11.6112,7.2417,9.5301,1.7116,1.0961,,,TCGA-DM-A28F-01,10.4528,9.0136,10.9603,12.1152,9.9982,9.2519,8.2556,9.4636,,,,,,
GTEX-11TTK-2426-SM-5PNYO,5.9233,2.893,7.9273,10.6731,8.6981,9.1038,0.9398,1.5041,,,TCGA-G4-6320-01,9.524,9.2423,9.7506,11.3651,8.7552,8.9453,7.7705,8.5295,,,,,,
GTEX-13O3O-2526-SM-5L3DR,6.6374,6.0172,8.8007,11.168,8.3546,8.8751,3.8118,4.7595,,,TCGA-AZ-6599-01,9.1197,8.254,10.1505,11.1601,9.2652,8.9346,7.5749,8.4762,,,,,,
GTEX-145LS-2726-SM-5Q5D8,5.9676,3.3264,8.184,11.2234,9.0036,9.1885,2.5671,3.3264,,,TCGA-CM-5348-01,9.1475,8.3451,9.2443,11.7363,9.0051,9.2326,6.888,9.0301,,,,,,
GTEX-P78B-1726-SM-3P5ZV,8.6977,9.0461,8.9687,11.7961,8.9095,9.0584,6.9574,8.078,,,TCGA-A6-2674-01,8.700681803,8.381723377,11.34139581,11.1567797,10.96101598,9.796504524,9.490888287,9.055950458,,,,,,
GTEX-11GSP-1626-SM-5986N,7.1827,3.0255,8.6729,11.2981,9.3631,9.0757,0,1.2801,,,TCGA-G4-6306-01,10.3264,9.475,9.8051,12.2352,9.5958,8.5968,7.5966,7.7255,,,,,,
GTEX-11ZVC-2126-SM-5EGJ1,7.5901,6.3748,8.5153,11.4453,9.1068,9.1278,4.8437,6.5803,,,TCGA-QG-A5Z1-01,10.1403,9.5354,10.1279,11.4661,9.4158,9.1856,7.4682,8.8394,,,,,,
