,E2F1-h,E2F2-h,E2F3-h,E2F4-h,E2F5-h,E2F6-h,E2F7-h,E2F8-h,,,,E2F1-s,E2F2-s,E2F3-s,E2F4-s,E2F5-s,E2F6-s,E2F7-s,E2F8-s
GTEX-S95S-0726-SM-4B64H,4.1205,3.0046,7.7579,11.1322,7.9848,8.9921,5.1751,1.7407,,,TCGA-3E-AAAY-01,8.1082,6.5082,9.0067,11.1147,8.3446,9.1849,5.2596,7.3069
GTEX-YEC4-1326-SM-5IFHG,5.9982,0,7.3065,11.0453,8.4159,8.8991,3.6131,0,,,TCGA-IB-AAUR-01,7.8196,7.4873,10.0955,11.6152,8.8706,9.2378,5.1492,6.357
GTEX-ZEX8-1026-SM-4WKHE,7.045,4.8822,6.8803,11.1711,8.4595,8.8083,5.0152,3.9303,,,TCGA-S4-A8RM-01,7.6331,5.2596,9.5788,11.4698,8.4992,9.2431,6.5974,8.0896
GTEX-11EQ9-1026-SM-5H134,5.1117,3.0809,6.866,11.4206,8.3946,9.4093,4.2967,1.5187,,,TCGA-XN-A8T3-01,8.9127,6.9471,9.2119,11.0254,8.0644,9.328,8.8214,7.0068
GTEX-WFON-0626-SM-4LVLX,6.1959,5.4107,8.3673,11.3985,8.253,8.9006,4.2826,3.3548,,,TCGA-2L-AAQI-01,8.7966,6.1568,8.6749,10.8116,8.6793,9.1122,6.1888,8.5907
GTEX-11P7K-0526-SM-5BC5I,4.1739,3.3885,7.4996,10.9572,8.3642,8.9853,4.1739,2.7405,,,TCGA-HZ-7925-01,7.9823,6.3143,10.0078,11.1437,8.1942,8.7152,7.0998,7.7168
GTEX-13FTW-0526-SM-5IFIP,5.8132,4.3732,7.311,11.2567,8.3201,9.114,4.0686,1.5716,,,TCGA-2J-AAB1-01,8.3137,6.1161,8.4674,11.0677,7.931,8.5915,6.3449,6.8711
GTEX-ZDYS-2526-SM-4WKGU,5.9201,2.9292,7.4165,10.7696,7.8039,8.9833,5.1815,0,,,TCGA-3A-A9IJ-01,8.1632,4.6607,7.1385,11.3515,9.1019,9.9539,1.4198,0.8779
GTEX-ZVZP-0626-SM-59HL5,5.9654,3.5668,7.8036,11.2084,8.3751,9.5442,5.923,3.0415,,,TCGA-3A-A9IU-01,8.1498,5.492,9.87,11.1858,8.1112,9.1773,6.8431,7.0555
GTEX-X4LF-0326-SM-4QAS9,5.9767,3.7436,7.7851,11.4524,7.7622,9.0937,3.5391,2.6581,,,TCGA-F2-A44H-01,7.9847,6.0694,9.3414,10.8256,7.8335,8.6419,6.0694,6.5907
