samples,E2F1-s,E2F2-s,E2F3-s,E2F4-s,E2F5-s,E2F6-s,E2F7-s,E2F8-s,,,samples,E2F1-h,E2F2-h,E2F3-h,E2F4-h,E2F5-h,E2F6-h,E2F7-h,E2F8-h
TCGA-VF-A8AD-01,10.8516,9.7275,10.8167,12.7054,8.5227,10.2811,9.6221,7.8804,,,GTEX-ZYT6-2726-SM-5GICP,9.8904,9.6071,9.1175,11.7481,9.0911,9.5294,9.5275,7.6462
TCGA-ZM-AA05-01,10.3474,10.1461,10.1979,11.4141,7.6335,9.6239,7.2562,5.4067,,,GTEX-11TUW-2226-SM-5EQL9,10.7197,10.3752,8.972,12.0328,8.7351,9.6991,9.7796,7.8176
TCGA-2G-AAFL-01,11.1447,9.827,9.9927,12.1816,8.9499,10.2128,8.6067,7.0008,,,GTEX-11LCK-2326-SM-5HL53,10.5657,9.8622,8.9501,12.2278,8.9566,9.6529,9.1393,7.6472
TCGA-XE-A9SE-01,11.8706,10.2496,10.9513,12.6382,10.0579,10.1411,10.0555,8.3866,,,GTEX-ZVTK-0126-SM-57WDG,10.0076,10.2784,9.4838,11.8675,9.2644,9.7181,9.4484,7.8114
TCGA-XY-A89B-01,10.8514,10.2721,10.9688,11.4951,8.1771,10.7393,9.3048,7.9241,,,GTEX-XQ3S-2726-SM-4BOP2,10.5752,10.1102,8.8342,12.1627,8.7999,9.7209,7.9918,8.1011
TCGA-ZM-AA0F-01,9.9775,9.0274,10.917,11.4116,8.8811,10.3144,7.1602,6.9587,,,GTEX-14753-0626-SM-5Q5CY,10.5862,10.1498,8.7772,11.8017,9.458,10.1314,9.8233,7.9619
TCGA-2G-AAH4-01,10.7246,9.6083,10.3216,11.7626,9.8207,10.2963,9.8255,8.6058,,,GTEX-131XE-0426-SM-5IJF4,9.657,9.741,9.3742,12.0914,9.4346,9.7844,9.0511,7.3068
TCGA-4K-AA1G-01,10.8578,10.3737,9.9721,11.1974,7.8959,11.0355,9.6338,8.0338,,,GTEX-V1D1-2126-SM-4JBH4,9.7722,9.3737,9.155,11.8782,9.3537,9.7565,8.3019,7.6657
TCGA-YU-A912-01,10.5246,10.2659,10.4098,12.0854,9.5643,10.8817,9.9893,7.8533,,,GTEX-P4QS-2126-SM-3NMCF,10.2007,10.1037,9.0854,12.0986,9.1928,10.2699,8.7979,7.3796
TCGA-ZM-AA0D-01,10.4686,10.315,10.4307,11.3184,8.3943,10.1163,7.3696,7.1163,,,GTEX-SNOS-1126-SM-4DM67,9.9569,9.7781,9.2244,11.9847,9.5568,9.883,9.5189,7.5001
TCGA-2G-AAF8-01,10.9717,9.9108,10.2771,11.2142,10.3862,10.8228,9.2192,7.5135,,,GTEX-13NZA-2526-SM-5IJFX,10.599,10.309,9.1478,12.1635,9.1187,9.9138,8.3397,7.3739
TCGA-2G-AAFO-01,10.4114,8.9789,9.4092,12.0315,8.6627,10.2273,8.285,5.7821,,,GTEX-12ZZY-0126-SM-5LZV2,10.3593,10.3284,8.9568,11.9375,8.8557,9.8207,10.3772,7.9066
TCGA-2G-AAG7-01,10.9911,9.2435,11.2961,12.2668,9.9863,10.4801,10.0357,8.9077,,,GTEX-13O61-2026-SM-5J2M6,10.1688,9.9711,9.43,11.847,9.2825,10.0452,8.367,7.8677
TCGA-2G-AAGI-01,10.6363,9.0296,10.8653,11.9219,9.5677,10.4043,10.138,9.0487,,,GTEX-144GL-0726-SM-5LU4P,10.2222,10.352,8.8016,11.7745,9.2151,9.9585,10.6709,7.6167
TCGA-2G-AAGP-01,10.3584,8.7285,10.5854,11.6208,9.7521,9.495,9.9424,8.8627,,,GTEX-13NZB-2026-SM-5MR4M,10.1217,10.0035,9.0575,12.0939,9.4951,9.8356,9.0187,7.3793
TCGA-2G-AAHC-01,10.5437,9.85,10.1078,11.7285,8.5701,10.5004,8.7749,7.2333,,,GTEX-12C56-1426-SM-5FQSW,10.3299,9.9351,9.6706,11.7683,9.32,9.9799,9.4321,7.7211
TCGA-X3-A8G4-01,11.1448,9.2451,10.0249,12.3077,8.5499,10.0426,9.8579,8.6689,,,GTEX-XAJ8-1326-SM-47JYT,9.9965,10.2141,8.8928,11.9823,9.3408,9.6401,10.4548,7.6599
TCGA-XE-AAO3-01,11.3595,10.6345,10.3419,12.1585,10.2672,10.5626,10.2759,8.217,,,GTEX-11DXZ-2126-SM-59881,9.9756,10.0606,9.2375,11.7757,9.2409,9.7623,9.7108,8.1614
TCGA-2G-AAFZ-01,10.2199,8.948,10.1161,11.2273,9.5369,10.8759,10.0831,8.7208,,,GTEX-RUSQ-2126-SM-47JXK,10.1383,10.106,8.6726,12.2274,9.1698,9.8788,10.4137,7.3366
TCGA-2G-AAHN-01,11.2716,10.3879,9.8014,11.7776,7.7694,10.5855,6.886,7.4477,,,GTEX-OHPM-2126-SM-3LK75,9.9514,10.1312,9.0582,12.1013,9.3031,9.8945,8.721,7.3415
TCGA-2G-AAHT-01,10.9933,10.4476,10.5016,11.301,8.7987,10.9038,7.5444,8.2988,,,GTEX-REY6-0126-SM-48FDT,10.3437,10.3143,8.6956,11.9103,8.8553,9.69,9.2733,7.8756
