,E2F1-h,E2F2-h,E2F3-h,E2F4-h,E2F5-h,E2F6-h,E2F7-h,E2F8-h,,,,E2F1-s,E2F2-s,E2F3-s,E2F4-s,E2F5-s,E2F6-s,E2F7-s,E2F8-s
GTEX-ZVP2-1626-SM-5GU5D,6.7729,6.0782,8.4028,11.7003,8.4645,9.135,3.7424,8.3214,,,TCGA-CG-4449-01,10.3774,10.1436,10.1779,10.7803,8.0853,9.2525,8.808,10.8315
GTEX-QMRM-1126-SM-447BN,7.8088,5.9705,8.2908,11.5942,8.6163,9.2373,4.5096,8.8742,,,TCGA-VQ-A927-01,8.8692,8.9922,9.2908,11.3173,8.6247,8.932,8.3305,9.019
GTEX-ZLFU-1326-SM-4WWET,7.5584,5.2568,8.1843,11.5684,8.4829,9.6633,2.9353,8.3639,,,TCGA-BR-4256-01,8.8437,8.3805,10.1578,11.2882,9.6568,9.5991,8.7309,8.9318
GTEX-131XF-1226-SM-5HL8V,7.4551,5.8466,8.0014,11.5214,8.3012,9.4473,5.0579,7.2252,,,TCGA-D7-5578-01,10.6415,9.3248,9.4833,12.3504,9.2585,8.6411,8.253,10.1193
GTEX-S4Q7-0726-SM-4AD5F,6.7712,4.7503,8.6398,11.5134,8.3244,9.4408,2.4785,6.5068,,,TCGA-IN-8462-01,8.2326,9.072,9.591,11.5881,8.4498,9.1706,7.4865,8.2586
GTEX-TKQ1-0526-SM-4DXTG,7.6334,1.246,8.6297,11.4637,6.9616,9.7865,0,1.9045,,,TCGA-BR-8591-01,9.4073,8.8383,9.8375,11.4478,9.3008,8.9588,9.2456,9.4278
GTEX-YJ8A-1526-SM-5P9FT,6.5076,2.4593,9.3667,11.7329,8.8227,10.0894,5.5234,5.1188,,,TCGA-F1-6874-01,10.8255,10.6802,10.3688,12.7341,8.9954,9.8511,10.72,10.7987
GTEX-ZEX8-1626-SM-4WKG7,7.078,4.7436,6.9332,11.0239,8.4099,9.221,4.2519,5.9145,,,TCGA-F1-6875-01,11.8009,8.4356,10.4021,11.8395,9.448,9.7067,8.8503,8.489
GTEX-QDVJ-1426-SM-48U1Y,8.4836,7.8632,8.7358,11.3395,8.2624,8.906,7.271,9.8351,,,TCGA-FP-8099-01,10.9717,8.4999,10.1734,11.6948,9.3579,9.9595,8.696,10.6871
GTEX-UJMC-1226-SM-4IHLI,7.1945,3.2009,8.0062,11.4006,8.363,8.9871,2.8373,7.2343,,,TCGA-VQ-A8E3-01,11.4115,11.3032,11.6039,13.8218,10.6766,11.3646,10.6815,11.3917
GTEX-V955-1326-SM-4JBHR,7.8214,5.4405,7.3876,11.3218,9.1104,9.3597,3.9714,7.4828,,,TCGA-BR-4367-01,8.7271,7.3265,9.6311,11.0379,9.8005,8.9917,8.0024,9.4088
GTEX-ZQUD-0826-SM-57WDQ,7.5709,4.9436,8.9042,11.5894,8.4002,9.6541,5.0991,5.2395,,,TCGA-KB-A93J-01,10.129,8.4054,9.7302,11.779,8.5825,9.5909,9.2769,10.2128
GTEX-132QS-1826-SM-5IFFN,7.2653,6.1764,8.3725,11.5165,8.2766,9.3001,3.484,6.1471,,,TCGA-MX-A5UG-01,8.3503,8.5113,9.8652,11.2893,8.8478,8.8866,7.0339,8.3265
GTEX-ZZ64-0426-SM-5E43F,7.814,6.4457,8.4475,11.5431,8.2067,9.5057,4.3188,6.3575,,,TCGA-RD-A8N5-01,9.1638,7.1099,9.2079,11.044,8.0474,8.871,7.839,7.8667
GTEX-13OW6-2526-SM-5IJEC,8.428,7.2955,8.15,11.5102,8.4498,9.0771,6.596,8.3565,,,TCGA-VQ-A8PE-01,10.4361,9.7393,11.4126,12.2092,11.0782,10.4366,8.9886,9.5746
GTEX-RM2N-0826-SM-48FD3,7.969,5.7297,7.7816,11.2242,8.3282,8.9201,4.8037,7.9056,,,TCGA-VQ-A91U-01,9.0134,8.1744,10.3771,11.8155,10.1575,9.1444,7.5482,9.4614
GTEX-WFG8-1326-SM-4LVN3,8.6338,8.7008,8.4187,11.6854,8.7713,8.7751,6.1003,9.9,,,TCGA-BR-A4CS-01,10.2677,7.2854,9.2196,12.599,9.4843,9.9726,8.5506,7.9443
