samples,E2F1-h,E2F2-h,E2F3-h,E2F4-h,E2F5-h,E2F6-h,E2F7-h,E2F8-h,,,samples,E2F1-s,E2F2-s,E2F3-s,E2F4-s,E2F5-s,E2F6-s,E2F7-s,E2F8-s
GTEX-WYVS-1926-SM-4PQZ2,7.2504,6.4837,8.9983,11.126,8.4776,8.9653,5.5639,5.7409,,,TCGA-ZS-A9CD-01,8.4577,5.3576,9.2702,10.1812,7.2931,8.278,3.3801,4.9266
GTEX-UPIC-0926-SM-4IHLV,9.993,8.0447,8.0545,10.9923,7.4457,9.0792,6.7932,7.5984,,,TCGA-DD-A4NF-01,6.4548,3.7986,8.0935,9.9199,7.7336,9.3164,4.2116,4.7946
GTEX-RNOR-1426-SM-48FDJ,4.6724,1.6903,7.1876,10.8017,8.4438,9.1033,1.6903,1.6903,,,TCGA-DD-AAC8-01,7.7208,5.2519,9.1916,11.1205,8.5043,9.1902,4.0343,4.9049
GTEX-ZF2S-3026-SM-4WWCH,6.2186,6.4038,7.6363,10.3812,7.7629,8.7301,4.783,4.1149,,,TCGA-DD-AAE7-01,7.013,4.6029,8.4373,10.116,6.7889,8.7289,3.1321,5.168
GTEX-ZVT3-1626-SM-5GU66,6.1065,4.1261,7.5721,10.4408,8.2533,8.8989,1.6124,1.6124,,,TCGA-DD-AAEI-01,9.4064,7.4301,9.0894,10.3928,8.2658,8.857,5.6532,7.5066
GTEX-131YS-1626-SM-5HL6C,3.709,0,6.928,10.7182,8.3365,9.0951,1.7721,3.0438,,,TCGA-ZP-A9CZ-01,11.5102,7.6605,8.8961,10.1184,6.8247,9.0949,8.1038,8.6903
GTEX-11ZVC-0726-SM-5FQT9,4.082,2.3173,6.7085,10.8088,8.2625,9.2866,3.4542,0,,,TCGA-CC-5264-01,10.7766,9.133,9.852,11.5628,7.7767,9.9753,9.0631,10.0239
GTEX-YFC4-1526-SM-5IFJS,4.9519,4.5002,8.657,11.2449,8.5294,10.1628,2.1136,2.9365,,,TCGA-DD-A73A-01,8.6892,6.5129,8.9899,10.3951,8.3548,9.038,5.7226,5.9254
GTEX-ZVT4-0626-SM-5E45T,5.5631,3.1776,9.364,10.9592,8.389,9.4341,0,0,,,TCGA-G3-A3CI-01,6.9464,7.8895,8.1716,10.4298,6.5366,8.6413,3.7868,4.9482
GTEX-WYVS-1926-SM-4SOIC,7.2449,6.1188,8.768,10.8892,8.3304,8.7277,5.2732,6.0828,,,TCGA-NI-A4U2-01,6.9001,3.858,7.381,9.6992,7.3999,8.5378,3.7304,3.858
GTEX-13SLX-1226-SM-5S2Q6,7.2319,4.417,8.9088,10.6606,8.094,8.8883,3.8654,4.2555,,,TCGA-2Y-A9H9-01,9.9163,6.6895,7.6203,10.6455,7.2986,9.1,5.649,7.0565
GTEX-ZZPU-0426-SM-5GZYH,8.5377,5.8773,8.6203,10.8267,7.5377,8.9633,5.421,6.1444,,,TCGA-2Y-A9HA-01,9.2556,7.0278,8.917,10.1799,8.1651,9.2663,5.4823,7.4513
GTEX-1269C-0626-SM-5FQSS,4.8654,3.5305,8.7253,10.8478,8.5122,9.3211,3.2923,2.6503,,,TCGA-5C-A9VH-01,8.4804,5.521,8.7077,10.5594,8.0767,8.6551,4.0911,7.0031
GTEX-ZF29-2026-SM-4WWB7,7.9061,4.6606,8.9706,10.8813,7.0114,9.226,3.9859,2.6776,,,TCGA-DD-AACK-01,8.4818,6.0808,9.7805,10.9753,8.0949,9.7217,6.3439,7.174
GTEX-RU72-1426-SM-46MUF,3.9617,3.9617,8.1299,10.7703,8.5947,9.2753,0,0,,,TCGA-DD-AADG-01,9.4306,6.1509,8.0494,10.0414,6.1869,8.3115,5.6967,6.8116
GTEX-13O3O-1826-SM-5IFGW,4.0583,1.6947,9.4117,11.6699,8.0631,9.7483,1.6947,1.6947,,,TCGA-EP-A26S-01,7.9341,4.9178,7.6187,10.568,6.3439,8.9434,5.509,6.3279
GTEX-14A5I-1726-SM-5QGQ5,3.9042,4.9514,8.9773,10.8101,8.5969,9.483,1.583,3.4568,,,TCGA-G3-A5SL-01,7.5687,4.4776,8.4005,9.9737,8.2258,8.3384,3.7455,5.3848
GTEX-13QJC-0726-SM-5RQJK,5.774,4.2924,7.7814,10.8869,8.4394,9.3382,1.6164,2.3596,,,TCGA-G3-A7M9-01,11.1005,8.5301,10.6963,12.3774,10.3273,11.0192,8.6419,8.9124
GTEX-Y5LM-0426-SM-4VBRO,10.299,7.4574,8.5719,10.8575,7.1919,9.2031,5.8241,6.8946,,,TCGA-BC-A10U-01,8.2667,7.2119,10.9927,10.8743,8.7322,9.5835,5.9863,7.0033
GTEX-RTLS-1326-SM-46MUN,2.7402,5.6508,6.9554,10.291,8.2677,8.4412,1.533,1.533,,,TCGA-BC-A5W4-01,8.9585,4.5587,7.6995,10.441,8.1721,9.2265,3.4633,4.1126
GTEX-13113-1326-SM-5GCOI,5.2669,2.8581,8.4976,11.0793,7.5756,9.0137,2.3693,0,,,TCGA-BC-A69I-01,7.3648,3.4545,8.321,10.4661,6.754,8.2282,3.7198,3.4545
GTEX-X4EP-1026-SM-4QAS5,4.2333,5.1292,9.2132,10.5863,7.7462,8.5,2.0833,3.8024,,,TCGA-BD-A2L6-01,11.2447,7.5716,8.7281,10.4024,6.5822,8.3119,7.3291,8.1647
GTEX-13OVJ-1026-SM-5IFGI,4.0617,4.5222,8.8873,11.0765,8.6306,9.0542,4.1913,3.3812,,,TCGA-DD-A11C-01,12.0571,6.8238,8.7463,10.9975,8.1534,8.0345,7.7708,9.1066
GTEX-13PVR-0126-SM-5S2PY,4.2266,1.8203,7.9159,10.7797,7.3438,8.8431,2.6001,0,,,TCGA-DD-AACH-01,11.8261,8.9913,10.2042,10.0796,7.4227,9.8215,8.4851,9.8056
GTEX-13N11-0926-SM-5IJG2,9.784,8.431,9.4234,11.2946,7.6599,8.9183,7.2676,8.2813,,,TCGA-DD-AACI-01,9.3614,5.7923,8.6463,9.6068,6.0554,8.5629,0,4.3049
GTEX-ZYY3-0626-SM-5NQ6W,4.3581,3.8079,8.4864,10.7599,8.779,8.9328,2.0879,2.0879,,,TCGA-DD-AAE9-01,10.0018,6.3061,9.5291,10.6154,7.5836,8.0109,6.1024,5.5279
GTEX-ZTPG-1426-SM-51MT3,4.9789,5.2342,8.8662,11.2504,8.88,9.253,3.5468,2.8292,,,TCGA-DD-AAW2-01,8.5013,5.5403,8.672,9.9929,7.3202,7.5957,5.0582,5.8283
GTEX-132AR-0426-SM-5IFH8,6.3138,4.1388,9.2699,11.3329,8.9383,9.2973,4.0095,3.7098,,,TCGA-DD-AAW3-01,7.7548,5.0946,9.501,10.3465,6.7745,8.6755,4.5306,5.6121
GTEX-S32W-1926-SM-4AD63,5.7918,5.8684,9.1868,11.2436,8.5962,9.4727,2.008,3.3315,,,TCGA-RG-A7D4-01,10.7712,7.9347,9.7111,10.8869,8.3561,10.0992,7.2686,7.9488
,,,,,,,,,,,TCGA-2Y-A9GX-01,8.3403,6.0606,9.5427,10.504,8.8434,8.6879,5.6118,6.7807
,,,,,,,,,,,TCGA-2Y-A9H4-01,11.2291,5.989,8.6273,10.8519,8.9046,9.0724,5.1986,6.2369
,,,,,,,,,,,TCGA-CC-A9FW-01,9.5698,6.1337,9.0456,10.539,8.7514,9.7631,6.6038,6.7281
,,,,,,,,,,,TCGA-DD-A116-01,10.8808,5.6428,8.6355,9.3118,8.0812,8.8095,3.6994,6.4083
,,,,,,,,,,,TCGA-DD-A1EA-01,8.323,6.5103,8.7254,10.6733,7.0346,8.9315,6.6357,6.9891
,,,,,,,,,,,TCGA-DD-A1ED-01,5.1702,3.3869,8.3169,10.1174,6.4478,9.1681,2.9303,5.0099
,,,,,,,,,,,TCGA-DD-AACF-01,12.5165,8.1233,9.1078,9.3339,7.0381,8.6951,7.2915,8.5785
,,,,,,,,,,,TCGA-G3-A25V-01,7.6271,4.9774,9.2675,10.4726,7.7723,8.68,3.8752,5.1151
,,,,,,,,,,,TCGA-GJ-A9DB-01,9.7483,7.051,8.3641,10.7131,7.7772,8.9879,6.6358,8.1119
,,,,,,,,,,,TCGA-LG-A9QD-01,6.2653,4.198,8.3311,9.8619,8.2837,8.5286,2.6832,3.8089
