samples,E2F1-h,E2F2-h,E2F3-h,E2F4-h,E2F5-h,E2F6-h,E2F7-h,E2F8-h,,,samples,E2F1-s,E2F2-s,E2F3-s,E2F4-s,E2F5-s,E2F6-s,E2F7-s,E2F8-s
GTEX-Y8E4-1926-SM-4VBPW,6.8356,3.0136,7.9784,11.4261,8.3877,9.5288,1.8692,0.9142,,,TCGA-L5-A8NS-01,9.0248,8.9876,10.243,11.4399,9.4445,8.7506,8.8869,9.4551
GTEX-WL46-1226-SM-4OOS4,8.5394,9.4478,8.1154,11.4147,8.7119,8.7077,7.5932,7.5019,,,TCGA-S8-A6BV-01,9.0199,8.351,9.564,11.6093,8.5631,9.7264,7.8326,8.3943
GTEX-ZPU1-1526-SM-4YCFF,7.7102,8.9375,9.1721,11.605,8.8435,9.6263,7.3316,7.9286,,,TCGA-JY-A938-01,10.3248,9.4642,10.8489,11.2097,10.4088,10.1887,9.1132,9.9539
GTEX-XBEW-1526-SM-4AT4K,8.0099,3.5551,8.0832,11.6888,8.2744,9.8354,2.3314,1.2292,,,TCGA-L5-A43H-01,9.8269,8.8255,10.2527,12.0724,8.1642,10.3532,9.9992,8.5903
GTEX-ZVZP-1626-SM-5GIDJ,8.2231,5.292,8.4709,11.713,8.3245,10.0064,2.8804,4.417,,,TCGA-L5-A4OO-01,9.8286,7.4263,10.3963,11.8147,9.0648,9.1249,7.9766,8.7854
GTEX-WY7C-0826-SM-4ONCG,6.7134,4.7095,8.5174,10.8499,8.1515,9.4582,2.4266,4.9327,,,TCGA-L5-A4OQ-01,9.3429,8.9399,11.2448,11.8674,9.5467,10.0573,8.9355,9.5758
GTEX-11UD2-1526-SM-5EQLQ,7.6371,3.1782,9.2015,11.4535,8.7901,9.571,1.3842,0,,,TCGA-L5-A8NV-01,9.6608,8.3815,10.2295,12.0991,8.4413,8.9389,9.2255,11.053
GTEX-131XE-1526-SM-5KM1A,7.181,1.6706,7.8608,11.347,9.244,9.5317,1.0647,1.6706,,,TCGA-2H-A9GL-01,10.3775,11.2923,10.2943,11.38,9.3344,10.0529,11.2594,10.0872
GTEX-Y3I4-0926-SM-4TT2B,7.2996,6.3387,8.4542,11.5912,8.4432,9.7038,3.7538,4.9914,,,TCGA-L5-A43E-01,9.0144,8.2499,10.8246,12.1005,10.5005,9.8688,8.4068,9.7881
GTEX-12BJ1-1526-SM-5LUAQ,7.6549,4.8356,8.7875,11.0651,7.3752,9.7401,3.5504,2.4835,,,TCGA-V5-AASX-01,10.1751,10.038,10.5705,11.724,8.9344,9.423,8.9209,10.9157
GTEX-XXEK-0526-SM-4BRWD,8.141,1.1,8.3974,11.4724,8.9974,9.9203,1.1,1.7167,,,TCGA-LN-A49W-01,10.2377,9.5522,11.0508,12.3989,9.3938,10.2388,10.174,9.738
GTEX-YB5E-1026-SM-5IFI2,7.7467,3.0226,7.7145,11.3229,7.6934,9.7262,2.5238,1.1294,,,TCGA-VR-A8EQ-01,9.3928,8.753,9.8165,11.9885,9.1115,8.2957,8.8019,9.9343
GTEX-V955-1226-SM-4JBI9,8.2251,5.0423,8.5043,11.549,8.3985,9.5958,4.0343,3.5424,,,TCGA-IG-A3Y9-01,9.428,10.1743,9.601,12.2266,7.6364,9.197,9.508,8.0888
GTEX-12696-1526-SM-5EGL6,8.5908,2.6234,8.1078,11.5637,9.0128,9.0303,1.1956,0,,,TCGA-IG-A5B8-01,9.1824,9.5302,9.7743,12.7517,7.3708,9.567,9.8489,8.6571
GTEX-139T6-0826-SM-5J1O2,7.74,2.1069,8.4758,11.2584,7.1652,9.8722,2.1069,1.0721,,,TCGA-LN-A7HX-01,9.9681,9.7351,9.674,12.1368,5.8457,8.6422,11.452,10.376
GTEX-ZY6K-0826-SM-5A5L7,7.8515,3.2102,8.3298,11.7147,8.8747,9.4783,2.182,1.7478,,,TCGA-R6-A8W8-01,10.1383,9.8924,9.9447,11.6534,9.1448,8.5023,9.6183,11.7616
GTEX-WHSB-0626-SM-4M1XP,7.2568,8.0488,9.2852,11.318,8.0716,9.3324,6.1863,6.8009,,,TCGA-V5-AASW-01,11.1598,9.5013,10.6455,12.2928,9.2756,10.922,10.5741,10.7141
GTEX-ZV7C-1326-SM-5BC7G,6.9077,2.7494,8.6825,11.0959,8.5332,9.8199,2.7494,3.3447,,,TCGA-IG-A4QS-01,9.3002,8.7909,10.9233,11.7747,10.3654,9.2092,7.6487,9.1279
GTEX-11P82-0426-SM-5HL5D,7.0855,1.1399,8.1552,11.2842,7.9672,9.363,1.1399,1.1399,,,TCGA-L5-A4OH-01,10.4176,9.5072,11.0006,12.6048,9.277,10.1126,9.2229,10.3077
GTEX-XQ8I-1826-SM-4BOOJ,7.8404,1.9325,8.1646,11.5854,9.4698,9.4934,1.2681,1.2681,,,TCGA-L5-A8NQ-01,9.8703,9.4081,9.0641,11.9257,7.2026,8.5385,7.8422,8.5986
GTEX-YEC3-2326-SM-5IFJF,7.5217,3.1773,8.5841,11.5765,8.1316,9.4295,2.4849,3.1773,,,TCGA-LN-A49P-01,9.9736,9.3757,9.5252,11.8368,8.9201,9.4697,8.9263,10.14
GTEX-1192X-1826-SM-5GIE2,7.7696,4.1205,8.1347,11.3983,8.7217,9.301,3.5764,3.4009,,,TCGA-R6-A6Y2-01,10.3314,8.5115,10.351,11.241,8.6558,9.6292,8.9731,9.8488
GTEX-144GM-1626-SM-5O9AG,5.9461,4.6246,8.9166,11.461,7.5346,9.7415,1.985,1.985,,,TCGA-2H-A9GN-01,10.1385,9.3516,10.8359,12.1314,10.2564,10.164,10.3981,10.1186
GTEX-ZT9W-1426-SM-4YCD2,8.119,2.2575,8.9879,11.2285,8.224,9.7599,2.7382,0.9601,,,TCGA-LN-A9FR-01,9.7118,8.5495,10.8755,11.8608,7.8123,9.7921,10.6874,9.1843
GTEX-WOFM-0426-SM-4OOSG,8.581,9.0653,9.8818,12.014,8.0944,9.1463,7.1784,8.7666,,,TCGA-VR-AA7I-01,9.7111,8.9589,10.0093,12.4183,7.0391,9.3052,9.6637,8.3385
GTEX-ZVP2-1426-SM-5NQ7P,8.5041,2.1497,8.1786,11.4926,8.2565,9.7866,1.7187,2.9772,,,TCGA-L5-A8NT-01,8.3798,8.3958,9.5286,11.7045,8.3137,9.392,9.5371,9.509
GTEX-13O61-1226-SM-5KM21,7.8584,1.2432,8.5213,11.358,8.0379,9.2513,3.5775,3.8751,,,TCGA-X8-AAAR-01,8.3537,8.379,9.5942,11.3672,9.0107,9.7106,6.9823,8.1886
GTEX-WFG8-1126-SM-4LVN1,7.4373,4.7238,8.8892,11.3237,7.8103,9.3521,3.0112,4.8703,,,TCGA-2H-A9GI-01,9.6872,8.7967,10.9036,12.1281,8.9461,9.8602,8.0785,8.8981
GTEX-WHPG-1326-SM-4M1ZJ,8.4709,9.3812,9.2619,11.6182,8.4893,8.7056,7.9353,8.6863,,,TCGA-R6-A6L6-01,10.2073,9.134,9.1643,11.6614,8.7671,8.934,8.2285,9.3715
GTEX-ZTSS-0826-SM-5985L,8.0505,1.1904,8.7881,11.4406,8.0252,10.0424,0,0,,,TCGA-2H-A9GF-01,9.9099,9.7744,11.0954,11.778,6.4934,9.7992,9.0957,10.6258
GTEX-12C56-0426-SM-5FQU1,7.4767,2.7711,8.5554,11.3363,8.0787,9.7123,2.7711,2.5011,,,TCGA-L5-A88W-01,8.4491,7.3612,9.3888,11.9491,6.6201,8.9487,9.327,8.6116
GTEX-13O21-0726-SM-5L3EG,6.9863,3.9213,8.3085,11.1722,8.1176,9.5152,2.0513,2.5153,,,TCGA-V5-AASV-01,9.8763,11.1866,10.8232,12.1505,9.0867,9.7434,9.9826,10.1682
GTEX-111YS-0826-SM-5GZYK,7.912,3.9094,8.7204,11.3451,7.9598,9.8117,2.7248,2.7248,,,TCGA-2H-A9GG-01,8.8547,8.7812,10.2662,10.9544,9.7421,9.0561,8.2312,8.6789
GTEX-X4LF-0826-SM-4QASC,6.1847,4.2149,8.4966,11.3912,7.7311,9.6367,3.4917,2.7775,,,TCGA-LN-A49K-01,9.8218,9.7266,10.4741,12.2366,8.4075,10.1506,10.2486,9.1876
GTEX-Y9LG-0926-SM-4VDS6,7.1058,3.6882,7.9902,11.5276,8.4688,9.4418,1.1303,1.7562,,,TCGA-L5-A4ON-01,9.4646,9.9913,10.1513,12.3137,9.7802,9.8709,9.2214,9.5054
GTEX-XGQ4-1626-SM-4AT6J,8.1602,3.7078,7.7084,11.2844,8.1753,9.5548,2.006,3.0945,,,TCGA-L7-A56G-01,9.7172,10.5117,10.6164,11.1748,9.1572,9.7603,10.2262,9.3714
GTEX-11EQ9-0926-SM-5HL6I,6.9374,3.8099,7.8065,11.1301,7.7771,9.7381,1.9614,4.5051,,,TCGA-LN-A4A6-01,9.4203,11.2464,10.1011,12.6053,7.4254,9.6441,11.6896,10.3821
GTEX-13FTW-1926-SM-5K7Y4,7.2183,5.5966,8.6185,11.103,7.2297,9.7284,3.0321,5.2056,,,TCGA-ZR-A9CJ-01,10.0649,7.8419,10.2868,12.2876,9.8069,9.741,10.6453,9.8684
GTEX-ZQUD-0626-SM-51MR2,7.6732,3.2422,7.886,11.0808,8.138,9.1897,2.3872,2.3872,,,TCGA-R6-A6XG-01,9.8367,9.486,10.065,12.5113,9.3696,9.7713,9.5457,9.8975
GTEX-X3Y1-1126-SM-4PQZ9,7.6897,2.9475,8.9041,11.2469,8.061,9.7454,1.2283,0,,,TCGA-VR-A8ET-01,9.7153,9.4234,11.1891,12.3299,9.0653,10.7468,9.3366,10.2166
GTEX-11WQK-2226-SM-5CVL7,6.1973,3.2888,10.1031,11.7579,9.307,9.6234,3.1171,1.675,,,TCGA-IG-A51D-01,10.5342,9.9608,10.1165,12.2661,8.4032,9.7507,10.7363,10.0687
